Trade_No;Direction;Entry_DateTime;Exit_DateTime;Duration_Min;Entry_GC;Entry_SI;Exit_GC;Exit_SI;Entry_ZScore;Exit_ZScore;Exit_Reason;Beta;GC_Contracts;SI_Contracts;PnL_GC;PnL_SI;PnL_Gross;Costs;PnL_Net;Max_PnL_Intra;Min_PnL_Intra;PnL_Cumul
1;LONG;2025-12-11 05:40:00;2025-12-11 05:47:00;7.0;4241.4;62.45;4240.7;62.375;-3.28;-1.68;TP_ZSCORE;3.0697;2;1;140.0;-375.0;-235.0;102.0;-337.0;240.0;-330.0;-337.0
2;LONG;2025-12-11 10:48:00;2025-12-11 10:48:00;0.0;4303.7;64.175;4300.2;64.12;-3.99;-2.98;TP_DOLLAR;2.6792;2;1;;;400.0;102.0;298.0;425.0;0.0;-39.0
3;LONG;2025-12-11 12:59:00;2025-12-11 12:59:00;0.0;4298.6;63.835;4298.5;63.915;-3.61;-2.57;TP_DOLLAR;2.5655;2;1;;;400.0;102.0;298.0;420.0;0.0;259.0
4;LONG;2025-12-12 12:43:00;2025-12-12 12:43:00;0.0;4325.4;61.795;4329.1;61.985;-3.03;-3.25;TP_DOLLAR;1.2453;1;1;;;400.0;78.0;322.0;580.0;0.0;581.0
5;LONG;2025-12-12 12:44:00;2025-12-12 12:45:00;1.0;4324.6;61.73;4326.4;61.83;-3.25;-1.86;TP_ZSCORE;1.2431;1;1;-180.0;500.0;320.0;78.0;242.0;320.0;-25.0;823.0
6;SHORT;2025-12-14 23:31:00;2025-12-14 23:33:00;2.0;4367.1;63.005;4369.5;63.0;3.17;1.83;TP_ZSCORE;0.6438;1;1;240.0;25.0;265.0;78.0;187.0;265.0;-170.0;1010.0
7;LONG;2025-12-15 14:22:00;2025-12-15 14:25:00;3.0;4332.4;63.835;4334.7;63.905;-3.26;-1.52;TP_ZSCORE;0.4556;1;1;-230.0;350.0;120.0;78.0;42.0;260.0;-350.0;1052.0
8;LONG;2025-12-15 19:00:00;2025-12-15 19:01:00;1.0;4332.5;63.64;4334.7;63.755;-3.42;-1.58;TP_ZSCORE;0.5609;1;1;-220.0;575.0;355.0;78.0;277.0;355.0;-190.0;1329.0
9;LONG;2025-12-15 19:06:00;2025-12-15 19:06:00;0.0;4328.8;63.445;4329.8;63.56;-3.13;-2.38;TP_DOLLAR;0.5671;1;1;;;400.0;78.0;322.0;475.0;0.0;1651.0
10;LONG;2025-12-15 20:53:00;2025-12-15 20:59:00;6.0;4324.4;63.33;4316.4;63.125;-3.09;-1.89;TP_ZSCORE;0.6933;1;1;800.0;-1025.0;-225.0;78.0;-303.0;345.0;-460.0;1348.0
11;SHORT;2025-12-16 07:30:00;2025-12-16 07:34:00;4.0;4335.9;63.505;4337.0;63.47;3.02;1.32;TP_ZSCORE;1.0881;1;1;110.0;175.0;285.0;78.0;207.0;300.0;-520.0;1555.0
12;SHORT;2025-12-16 17:30:00;2025-12-16 17:34:00;4.0;4334.9;63.835;4335.0;63.815;3.69;1.65;TP_ZSCORE;0.5887;1;1;10.0;100.0;110.0;78.0;32.0;110.0;-35.0;1587.0
13;LONG;2025-12-16 23:01:00;2025-12-16 23:01:00;0.0;4358.3;66.045;4360.3;66.225;-3.6;-2.63;TP_DOLLAR;0.9224;1;1;;;400.0;78.0;322.0;700.0;0.0;1909.0
14;LONG;2025-12-17 06:18:00;2025-12-17 06:20:00;2.0;4350.9;66.14;4352.8;66.175;-3.07;-3.53;SL_ZSCORE;2.7865;2;1;-380.0;175.0;-205.0;102.0;-307.0;310.0;-205.0;1602.0
15;LONG;2025-12-17 20:17:00;2025-12-17 20:18:00;1.0;4366.5;66.435;4366.8;66.52;-3.02;-1.62;TP_ZSCORE;4.088;3;1;-90.0;425.0;335.0;126.0;209.0;385.0;0.0;1811.0
16;LONG;2025-12-18 08:31:00;2025-12-18 08:31:00;0.0;4370.4;66.24;4366.1;66.09;-3.68;-3.45;TP_DOLLAR;4.7554;4;1;;;400.0;150.0;250.0;970.0;0.0;2061.0
17;SHORT;2025-12-18 08:43:00;2025-12-18 08:43:00;0.0;4344.4;64.935;4350.2;65.15;3.17;3.12;TP_DOLLAR;4.7643;4;1;;;400.0;150.0;250.0;1245.0;0.0;2311.0
18;SHORT;2025-12-18 08:44:00;2025-12-18 08:44:00;0.0;4344.1;65.01;4344.8;64.935;3.12;2.95;TP_DOLLAR;4.7631;4;1;;;400.0;150.0;250.0;655.0;0.0;2561.0
19;LONG;2025-12-18 19:00:00;2025-12-18 19:03:00;3.0;4352.4;65.24;4350.3;65.065;-3.93;-3.91;SL_ZSCORE;1.0373;1;1;210.0;-875.0;-665.0;78.0;-743.0;375.0;-665.0;1818.0
20;SHORT;2025-12-18 23:35:00;2025-12-18 23:35:05;0.1;4353.8;65.78;4353.2;65.675;3.52;3.27;TP_DOLLAR;1.4554;1;1;;;400.0;78.0;322.0;465.0;0.0;2140.0
21;SHORT;2025-12-18 23:36:00;2025-12-18 23:37:35;1.6;4353.8;65.85;4352.8;65.74;3.27;1.96;TP_DOLLAR;1.4552;1;1;;;400.0;78.0;322.0;450.0;0.0;2462.0
22;SHORT;2025-12-19 02:03:00;2025-12-19 02:04:00;1.0;4350.1;65.82;4350.1;65.775;3.21;1.42;TP_ZSCORE;1.4589;1;1;0.0;225.0;225.0;78.0;147.0;225.0;0.0;2609.0
23;SHORT;2025-12-19 03:45:00;2025-12-19 03:47:00;2.0;4361.0;66.215;4360.6;66.17;3.01;1.62;TP_ZSCORE;1.4807;1;1;-40.0;225.0;185.0;78.0;107.0;205.0;-80.0;2716.0
24;LONG;2025-12-23 09:01:00;2025-12-23 09:01:00;0.0;4473.5;69.185;4476.8;69.49;-3.29;-3.15;TP_DOLLAR;0.951;1;1;;;400.0;78.0;322.0;1195.0;0.0;3038.0
25;LONG;2025-12-23 09:02:00;2025-12-23 09:04:30;2.5;4463.3;68.955;4464.6;69.065;-3.15;-1.54;TP_DOLLAR;0.95;1;1;;;400.0;78.0;322.0;420.0;-290.0;3360.0
26;LONG;2025-12-24 02:03:00;2025-12-24 02:03:05;0.1;4509.3;71.9;4507.8;71.925;-3.27;-2.22;TP_DOLLAR;1.9829;2;1;;;400.0;102.0;298.0;425.0;0.0;3658.0
