Trade_No;Direction;Entry_DateTime;Exit_DateTime;Duration_Min;Entry_GC;Entry_SI;Exit_GC;Exit_SI;Entry_ZScore;Exit_ZScore;Exit_Reason;Beta;GC_Contracts;SI_Contracts;PnL_GC;PnL_SI;PnL_Gross;Costs;PnL_Net;Max_PnL_Intra;Min_PnL_Intra;PnL_Cumul
1;LONG;2025-12-11 05:40:00;2025-12-11 05:47:00;7.0;4241.4;62.45;4240.7;62.375;-3.28;-1.68;TP_ZSCORE;3.0697;2;1;140.0;-375.0;-235.0;102.0;-337.0;280.0;-515.0;-337.0
2;LONG;2025-12-11 10:48:00;2025-12-11 10:49:00;1.0;4303.7;64.175;4304.0;64.215;-3.99;-2.98;TP_DOLLAR;2.6792;2;1;;;400.0;102.0;298.0;760.0;-535.0;-39.0
3;LONG;2025-12-11 12:59:00;2025-12-11 13:00:00;1.0;4298.6;63.835;4294.6;63.73;-3.61;-2.57;TP_DOLLAR;2.5655;2;1;;;400.0;102.0;298.0;875.0;-580.0;259.0
4;LONG;2025-12-12 12:43:00;2025-12-12 12:45:00;2.0;4325.4;61.795;4326.4;61.83;-3.03;-1.86;TP_DOLLAR;1.2453;1;1;;;400.0;78.0;322.0;440.0;-755.0;581.0
5;SHORT;2025-12-14 23:31:00;2025-12-14 23:33:00;2.0;4367.1;63.005;4369.5;63.0;3.17;1.83;TP_DOLLAR;0.6438;1;1;;;400.0;78.0;322.0;405.0;-310.0;903.0
6;LONG;2025-12-15 14:22:00;2025-12-15 14:23:00;1.0;4332.4;63.835;4329.5;63.725;-3.26;-3.33;SL_DOLLAR;0.4556;1;1;;;-800.0;78.0;-878.0;650.0;-900.0;25.0
7;LONG;2025-12-15 19:00:00;2025-12-15 19:01:00;1.0;4332.5;63.64;4334.7;63.755;-3.42;-1.58;TP_DOLLAR;0.5609;1;1;;;400.0;78.0;322.0;1005.0;-230.0;347.0
8;LONG;2025-12-15 19:06:00;2025-12-15 19:07:00;1.0;4328.8;63.445;4328.4;63.48;-3.13;-2.38;TP_DOLLAR;0.5671;1;1;;;400.0;78.0;322.0;415.0;-335.0;669.0
9;LONG;2025-12-15 20:53:00;2025-12-15 20:54:00;1.0;4324.4;63.33;4320.2;63.235;-3.09;-2.93;SL_DOLLAR;0.6933;1;1;;;-800.0;78.0;-878.0;655.0;-805.0;-209.0
10;SHORT;2025-12-16 07:30:00;2025-12-16 07:31:00;1.0;4335.9;63.505;4338.0;63.57;3.02;2.81;SL_DOLLAR;1.0881;1;1;;;-800.0;78.0;-878.0;600.0;-1020.0;-1087.0
11;SHORT;2025-12-16 17:30:00;2025-12-16 17:34:00;4.0;4334.9;63.835;4335.0;63.815;3.69;1.65;TP_ZSCORE;0.5887;1;1;10.0;100.0;110.0;78.0;32.0;135.0;-135.0;-1055.0
12;LONG;2025-12-16 23:01:00;2025-12-16 23:03:00;2.0;4358.3;66.045;4358.0;66.08;-3.6;-1.95;TP_ZSCORE;0.9224;1;1;30.0;175.0;205.0;78.0;127.0;330.0;-130.0;-928.0
13;LONG;2025-12-17 06:18:00;2025-12-17 06:20:00;2.0;4350.9;66.14;4352.8;66.175;-3.07;-3.53;SL_ZSCORE;2.7865;2;1;-380.0;175.0;-205.0;102.0;-307.0;370.0;-450.0;-1235.0
14;LONG;2025-12-17 20:17:00;2025-12-17 20:18:00;1.0;4366.5;66.435;4366.8;66.52;-3.02;-1.62;TP_DOLLAR;4.088;3;1;;;400.0;126.0;274.0;725.0;-160.0;-961.0
15;LONG;2025-12-18 08:31:00;2025-12-18 08:32:00;1.0;4370.4;66.24;4371.7;66.285;-3.68;-3.45;SL_DOLLAR;4.7554;4;1;;;-800.0;150.0;-950.0;585.0;-835.0;-1911.0
16;SHORT;2025-12-18 08:43:00;2025-12-18 08:44:00;1.0;4344.4;64.935;4344.1;65.01;3.17;3.12;SL_DOLLAR;4.7643;4;1;;;-800.0;150.0;-950.0;1030.0;-1575.0;-2861.0
17;LONG;2025-12-18 19:00:00;2025-12-18 19:01:00;1.0;4352.4;65.24;4351.5;65.26;-3.93;-2.55;TP_DOLLAR;1.0373;1;1;;;400.0;78.0;322.0;750.0;-215.0;-2539.0
18;SHORT;2025-12-18 23:35:00;2025-12-18 23:38:00;3.0;4353.8;65.78;4351.6;65.715;3.52;1.96;TP_ZSCORE;1.4554;1;1;-220.0;325.0;105.0;78.0;27.0;310.0;-520.0;-2512.0
19;SHORT;2025-12-19 02:03:00;2025-12-19 02:04:00;1.0;4350.1;65.82;4350.1;65.775;3.21;1.42;TP_ZSCORE;1.4589;1;1;0.0;225.0;225.0;78.0;147.0;270.0;0.0;-2365.0
20;SHORT;2025-12-19 03:45:00;2025-12-19 03:47:00;2.0;4361.0;66.215;4360.6;66.17;3.01;1.62;TP_ZSCORE;1.4807;1;1;-40.0;225.0;185.0;78.0;107.0;225.0;-195.0;-2258.0
21;LONG;2025-12-23 09:01:00;2025-12-23 09:02:00;1.0;4473.5;69.185;4463.3;68.955;-3.29;-3.15;SL_DOLLAR;0.951;1;1;;;-800.0;78.0;-878.0;1550.0;-2460.0;-3136.0
22;LONG;2025-12-24 02:03:00;2025-12-24 02:04:00;1.0;4509.3;71.9;4507.8;71.875;-3.27;-2.22;TP_DOLLAR;1.9829;2;1;;;400.0;102.0;298.0;430.0;-310.0;-2838.0
23;LONG;2025-12-24 02:05:00;2025-12-24 02:06:00;1.0;4509.8;71.855;4511.2;71.93;-3.49;-2.4;TP_DOLLAR;1.9851;2;1;;;400.0;102.0;298.0;415.0;-470.0;-2540.0
24;LONG;2025-12-24 02:07:00;2025-12-24 02:10:00;3.0;4512.2;71.885;4512.2;71.91;-3.13;-1.82;TP_ZSCORE;1.9874;2;1;0.0;125.0;125.0;102.0;23.0;375.0;-250.0;-2517.0
25;LONG;2025-12-26 09:31:00;2025-12-26 09:32:00;1.0;4568.2;75.81;4571.9;75.96;-3.28;-3.42;SL_DOLLAR;4.6013;4;1;;;-800.0;150.0;-950.0;1015.0;-1835.0;-3467.0
26;LONG;2025-12-28 19:36:00;2025-12-28 19:37:00;1.0;4525.7;76.86;4523.3;76.46;-3.43;-3.32;SL_DOLLAR;5.2347;4;1;;;-800.0;150.0;-950.0;2375.0;-2950.0;-4417.0
27;SHORT;2025-12-30 05:10:00;2025-12-30 05:12:00;2.0;4405.8;74.45;4402.4;74.35;3.01;1.78;TP_DOLLAR;1.4727;1;1;;;400.0;78.0;322.0;530.0;-520.0;-4095.0
28;LONG;2025-12-30 13:45:00;2025-12-30 13:46:00;1.0;4373.8;77.0;4372.1;76.765;-3.04;-3.48;SL_DOLLAR;1.6889;1;1;;;-800.0;78.0;-878.0;120.0;-1250.0;-4973.0
