label;beta;zp;cp;adf;zE;co;zTP;zSL;dTP;dSL;mhb;mm;trades;long;short;win_rate;pnl_net;pnl_avg;profit_factor;max_dd;sharpe;sortino;calmar;tp_zscore;tp_dollar;sl_zscore;sl_dollar;max_hold;end_session;feos
b4620_zp30_cp30_adf64_zE3.5_co20_zTP0.0_zSL5.0_dTP250_dSL600_feos_nohold_mm2;4620;30;30;64;3.5;20;0.0;5.0;250;-600;0;2;329;172;157;55.6;8009.0;24.34;1.56;-2562.0;0.16;0.184;3.13;144;73;0;4;0;108;True
b4620_zp30_cp30_adf64_zE3.5_co20_zTP0.0_zSL99_dTP250_dSL600_feos_nohold_mm2;4620;30;30;64;3.5;20;0.0;99.0;250;-600;0;2;329;172;157;55.6;8009.0;24.34;1.56;-2562.0;0.16;0.184;3.13;144;73;0;4;0;108;True
b4620_zp30_cp30_adf64_zE3.5_co20_zTP0.0_zSL5.0_dTP250_dSL500_feos_nohold_mm2;4620;30;30;64;3.5;20;0.0;5.0;250;-500;0;2;329;172;157;55.6;7884.0;23.96;1.55;-2462.0;0.16;0.188;3.2;142;73;0;6;0;108;True
b4620_zp30_cp30_adf64_zE3.5_co20_zTP0.0_zSL99_dTP250_dSL500_feos_nohold_mm2;4620;30;30;64;3.5;20;0.0;99.0;250;-500;0;2;329;172;157;55.6;7884.0;23.96;1.55;-2462.0;0.16;0.188;3.2;142;73;0;6;0;108;True
b4620_zp24_cp30_adf144_zE3.5_co20_zTP-1.0_zSL4.0_dTP250_dSL300_feos_nohold_mm2;4620;24;30;144;3.5;20;-1.0;4.0;250;-300;0;2;192;113;79;60.4;7802.0;40.63;2.06;-2104.0;0.29;0.388;3.71;57;63;0;9;0;63;True
b4620_zp24_cp30_adf144_zE3.5_co20_zTP-1.0_zSL5.0_dTP250_dSL300_feos_nohold_mm2;4620;24;30;144;3.5;20;-1.0;5.0;250;-300;0;2;192;113;79;60.4;7802.0;40.63;2.06;-2104.0;0.29;0.388;3.71;57;63;0;9;0;63;True
b4620_zp24_cp30_adf144_zE3.5_co20_zTP-1.0_zSL99_dTP250_dSL300_feos_nohold_mm2;4620;24;30;144;3.5;20;-1.0;99.0;250;-300;0;2;192;113;79;60.4;7802.0;40.63;2.06;-2104.0;0.29;0.388;3.71;57;63;0;9;0;63;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL5.0_dTP250_dSL500_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;5.0;250;-500;0;2;164;92;72;59.8;7711.0;47.02;2.52;-1543.0;0.36;0.548;5.0;57;50;0;1;0;56;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL99_dTP250_dSL500_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;99.0;250;-500;0;2;164;92;72;59.8;7711.0;47.02;2.52;-1543.0;0.36;0.548;5.0;57;50;0;1;0;56;True
b4620_zp30_cp30_adf144_zE3.75_co20_zTP0.0_zSL5.0_dTP250_dSL600_feos_nohold_mm2;4620;30;30;144;3.75;20;0.0;5.0;250;-600;0;2;166;93;73;60.8;7704.0;46.41;2.4;-1897.0;0.34;0.46;4.06;57;52;0;1;0;56;True
b4620_zp30_cp30_adf144_zE3.75_co20_zTP0.0_zSL99_dTP250_dSL600_feos_nohold_mm2;4620;30;30;144;3.75;20;0.0;99.0;250;-600;0;2;166;93;73;60.8;7704.0;46.41;2.4;-1897.0;0.34;0.46;4.06;57;52;0;1;0;56;True
b4620_zp30_cp30_adf144_zE3.75_co20_zTP0.0_zSL5.0_dTP250_nodSL_feos_nohold_mm2;4620;30;30;144;3.75;20;0.0;5.0;250;0;0;2;166;93;73;60.8;7690.0;46.32;2.4;-1911.0;0.34;0.453;4.02;58;52;0;0;0;56;True
b4620_zp30_cp30_adf144_zE3.75_co20_zTP0.0_zSL5.0_dTP250_dSL800_feos_nohold_mm2;4620;30;30;144;3.75;20;0.0;5.0;250;-800;0;2;166;93;73;60.8;7690.0;46.32;2.4;-1911.0;0.34;0.453;4.02;58;52;0;0;0;56;True
b4620_zp30_cp30_adf144_zE3.75_co20_zTP0.0_zSL5.0_dTP250_dSL1000_feos_nohold_mm2;4620;30;30;144;3.75;20;0.0;5.0;250;-1000;0;2;166;93;73;60.8;7690.0;46.32;2.4;-1911.0;0.34;0.453;4.02;58;52;0;0;0;56;True
