label;beta;zp;cp;adf;zE;co;zTP;zSL;dTP;dSL;mhb;mm;trades;long;short;win_rate;pnl_net;pnl_avg;profit_factor;max_dd;sharpe;sortino;calmar;tp_zscore;tp_dollar;sl_zscore;sl_dollar;max_hold;end_session;feos
b2640_zp30_cp12_adf144_zE3.75_co20_zTP-1.5_zSL5.0_dTP250_nodSL_feos_nohold_mm2;2640;30;12;144;3.75;20;-1.5;5.0;250;0;0;2;155;76;79;53.5;4852.0;31.3;1.62;-729.0;0.2;0.291;6.655692729766804;47;52;0;0;0;56;True
b2640_zp30_cp12_adf144_zE3.75_co20_zTP-1.5_zSL99_dTP250_nodSL_feos_nohold_mm2;2640;30;12;144;3.75;20;-1.5;99.0;250;0;0;2;155;76;79;53.5;4852.0;31.3;1.62;-729.0;0.2;0.291;6.655692729766804;47;52;0;0;0;56;True
b2640_zp30_cp12_adf96_zE3.75_co20_zTP-1.5_zSL5.0_dTP250_nodSL_feos_nohold_mm2;2640;30;12;96;3.75;20;-1.5;5.0;250;0;0;2;155;77;78;53.5;5265.0;33.97;1.7;-875.0;0.22;0.333;6.017142857142857;46;51;0;0;0;58;True
b2640_zp30_cp12_adf96_zE3.75_co20_zTP-1.5_zSL5.0_dTP250_dSL800_feos_nohold_mm2;2640;30;12;96;3.75;20;-1.5;5.0;250;-800;0;2;155;77;78;53.5;5265.0;33.97;1.7;-875.0;0.22;0.333;6.017142857142857;46;51;0;0;0;58;True
b2640_zp30_cp12_adf96_zE3.75_co20_zTP-1.5_zSL5.0_dTP250_dSL1000_feos_nohold_mm2;2640;30;12;96;3.75;20;-1.5;5.0;250;-1000;0;2;155;77;78;53.5;5265.0;33.97;1.7;-875.0;0.22;0.333;6.017142857142857;46;51;0;0;0;58;True
b2640_zp30_cp12_adf96_zE3.75_co20_zTP-1.5_zSL99_dTP250_nodSL_feos_nohold_mm2;2640;30;12;96;3.75;20;-1.5;99.0;250;0;0;2;155;77;78;53.5;5265.0;33.97;1.7;-875.0;0.22;0.333;6.017142857142857;46;51;0;0;0;58;True
b2640_zp30_cp12_adf96_zE3.75_co20_zTP-1.5_zSL99_dTP250_dSL800_feos_nohold_mm2;2640;30;12;96;3.75;20;-1.5;99.0;250;-800;0;2;155;77;78;53.5;5265.0;33.97;1.7;-875.0;0.22;0.333;6.017142857142857;46;51;0;0;0;58;True
b2640_zp30_cp12_adf96_zE3.75_co20_zTP-1.5_zSL99_dTP250_dSL1000_feos_nohold_mm2;2640;30;12;96;3.75;20;-1.5;99.0;250;-1000;0;2;155;77;78;53.5;5265.0;33.97;1.7;-875.0;0.22;0.333;6.017142857142857;46;51;0;0;0;58;True
b2640_zp20_cp12_adf32_zE3.25_co30_zTP-1.5_zSL4.0_dTP250_nodSL_feos_nohold_mm2;2640;20;12;32;3.25;30;-1.5;4.0;250;0;0;2;204;102;102;57.4;6769.0;33.18;1.75;-1154.0;0.22;0.273;5.865684575389948;83;53;0;0;0;68;True
b2640_zp20_cp12_adf32_zE3.25_co30_zTP-1.5_zSL5.0_dTP250_nodSL_feos_nohold_mm2;2640;20;12;32;3.25;30;-1.5;5.0;250;0;0;2;204;102;102;57.4;6769.0;33.18;1.75;-1154.0;0.22;0.273;5.865684575389948;83;53;0;0;0;68;True
b2640_zp20_cp12_adf32_zE3.25_co30_zTP-1.5_zSL99_dTP250_nodSL_feos_nohold_mm2;2640;20;12;32;3.25;30;-1.5;99.0;250;0;0;2;204;102;102;57.4;6769.0;33.18;1.75;-1154.0;0.22;0.273;5.865684575389948;83;53;0;0;0;68;True
b2640_zp30_cp12_adf144_zE3.75_co20_zTP-0.5_zSL5.0_dTP250_nodSL_feos_nohold_mm2;2640;30;12;144;3.75;20;-0.5;5.0;250;0;0;2;155;76;79;55.5;4442.0;28.66;1.62;-762.0;0.19;0.264;5.829396325459317;57;46;0;0;0;52;True
b2640_zp30_cp12_adf144_zE3.75_co20_zTP-0.5_zSL99_dTP250_nodSL_feos_nohold_mm2;2640;30;12;144;3.75;20;-0.5;99.0;250;0;0;2;155;76;79;55.5;4442.0;28.66;1.62;-762.0;0.19;0.264;5.829396325459317;57;46;0;0;0;52;True
b2640_zp30_cp12_adf96_zE3.75_co20_zTP-1.5_zSL5.0_dTP250_dSL600_feos_nohold_mm2;2640;30;12;96;3.75;20;-1.5;5.0;250;-600;0;2;155;77;78;53.5;5078.0;32.76;1.66;-875.0;0.21;0.289;5.803428571428571;45;51;0;1;0;58;True
b2640_zp30_cp12_adf96_zE3.75_co20_zTP-1.5_zSL99_dTP250_dSL600_feos_nohold_mm2;2640;30;12;96;3.75;20;-1.5;99.0;250;-600;0;2;155;77;78;53.5;5078.0;32.76;1.66;-875.0;0.21;0.289;5.803428571428571;45;51;0;1;0;58;True
b2640_zp30_cp12_adf26_zE3.5_co30_zTP-0.5_zSL5.0_dTP250_nodSL_feos_nohold_mm2;2640;30;12;26;3.5;30;-0.5;5.0;250;0;0;2;240;123;117;56.2;6578.0;27.41;1.69;-1153.0;0.2;0.283;5.705117085862966;105;56;0;0;0;79;True
b2640_zp30_cp12_adf26_zE3.5_co30_zTP-0.5_zSL5.0_dTP250_dSL1000_feos_nohold_mm2;2640;30;12;26;3.5;30;-0.5;5.0;250;-1000;0;2;240;123;117;56.2;6578.0;27.41;1.69;-1153.0;0.2;0.283;5.705117085862966;105;56;0;0;0;79;True
b2640_zp30_cp12_adf26_zE3.5_co30_zTP-0.5_zSL99_dTP250_nodSL_feos_nohold_mm2;2640;30;12;26;3.5;30;-0.5;99.0;250;0;0;2;240;123;117;56.2;6578.0;27.41;1.69;-1153.0;0.2;0.283;5.705117085862966;105;56;0;0;0;79;True
b2640_zp30_cp12_adf26_zE3.5_co30_zTP-0.5_zSL99_dTP250_dSL1000_feos_nohold_mm2;2640;30;12;26;3.5;30;-0.5;99.0;250;-1000;0;2;240;123;117;56.2;6578.0;27.41;1.69;-1153.0;0.2;0.283;5.705117085862966;105;56;0;0;0;79;True
b2640_zp30_cp12_adf26_zE3.5_co30_zTP-0.5_zSL4.0_dTP250_nodSL_feos_nohold_mm2;2640;30;12;26;3.5;30;-0.5;4.0;250;0;0;2;239;122;117;55.6;6505.0;27.22;1.68;-1153.0;0.2;0.288;5.6418039895923675;101;56;7;0;0;75;True
