label;beta;zp;cp;adf;zE;co;zTP;zSL;dTP;dSL;mhb;mm;trades;long;short;win_rate;pnl_net;pnl_avg;profit_factor;max_dd;sharpe;sortino;calmar;tp_zscore;tp_dollar;sl_zscore;sl_dollar;max_hold;end_session;feos
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL5.0_dTP250_dSL500_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;5.0;250;-500;0;2;164;92;72;59.8;7711.0;47.02;2.52;-1543.0;0.36;0.548;5.0;57;50;0;1;0;56;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL99_dTP250_dSL500_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;99.0;250;-500;0;2;164;92;72;59.8;7711.0;47.02;2.52;-1543.0;0.36;0.548;5.0;57;50;0;1;0;56;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP-0.5_zSL5.0_dTP250_dSL300_feos_nohold_mm2;4620;30;30;64;3.75;20;-0.5;5.0;250;-300;0;2;164;92;72;61.0;7605.0;46.37;2.34;-1784.0;0.35;0.527;4.26;50;53;0;4;0;57;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP-0.5_zSL99_dTP250_dSL300_feos_nohold_mm2;4620;30;30;64;3.75;20;-0.5;99.0;250;-300;0;2;164;92;72;61.0;7605.0;46.37;2.34;-1784.0;0.35;0.527;4.26;50;53;0;4;0;57;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL5.0_dTP250_nodSL_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;5.0;250;0;0;2;164;92;72;59.8;7597.0;46.32;2.46;-1657.0;0.35;0.479;4.58;58;50;0;0;0;56;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL5.0_dTP250_dSL400_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;5.0;250;-400;0;2;164;92;72;59.8;7501.0;45.74;2.42;-1753.0;0.35;0.504;4.28;56;50;0;2;0;56;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL5.0_dTP250_dSL600_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;5.0;250;-600;0;2;164;92;72;59.8;7611.0;46.41;2.47;-1643.0;0.35;0.487;4.63;57;50;0;1;0;56;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL5.0_dTP250_dSL800_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;5.0;250;-800;0;2;164;92;72;59.8;7597.0;46.32;2.46;-1657.0;0.35;0.479;4.58;58;50;0;0;0;56;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL5.0_dTP250_dSL1000_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;5.0;250;-1000;0;2;164;92;72;59.8;7597.0;46.32;2.46;-1657.0;0.35;0.479;4.58;58;50;0;0;0;56;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL99_dTP250_nodSL_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;99.0;250;0;0;2;164;92;72;59.8;7597.0;46.32;2.46;-1657.0;0.35;0.479;4.58;58;50;0;0;0;56;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL99_dTP250_dSL400_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;99.0;250;-400;0;2;164;92;72;59.8;7501.0;45.74;2.42;-1753.0;0.35;0.504;4.28;56;50;0;2;0;56;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL99_dTP250_dSL600_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;99.0;250;-600;0;2;164;92;72;59.8;7611.0;46.41;2.47;-1643.0;0.35;0.487;4.63;57;50;0;1;0;56;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL99_dTP250_dSL800_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;99.0;250;-800;0;2;164;92;72;59.8;7597.0;46.32;2.46;-1657.0;0.35;0.479;4.58;58;50;0;0;0;56;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL99_dTP250_dSL1000_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;99.0;250;-1000;0;2;164;92;72;59.8;7597.0;46.32;2.46;-1657.0;0.35;0.479;4.58;58;50;0;0;0;56;True
b4620_zp30_cp24_adf64_zE3.75_co20_zTP0.0_zSL5.0_dTP250_dSL500_feos_nohold_mm2;4620;30;24;64;3.75;20;0.0;5.0;250;-500;0;2;157;86;71;59.2;6915.0;44.05;2.37;-1401.0;0.34;0.504;4.94;55;48;0;1;0;53;True
b4620_zp30_cp24_adf64_zE3.75_co20_zTP0.0_zSL99_dTP250_dSL500_feos_nohold_mm2;4620;30;24;64;3.75;20;0.0;99.0;250;-500;0;2;157;86;71;59.2;6915.0;44.05;2.37;-1401.0;0.34;0.504;4.94;55;48;0;1;0;53;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL5.0_dTP250_dSL300_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;5.0;250;-300;0;2;164;92;72;59.8;7412.0;45.19;2.38;-1710.0;0.34;0.516;4.33;54;50;0;4;0;56;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL5.0_dTP250_dSL500_feos_mhb24_mm2;4620;30;30;64;3.75;20;0.0;5.0;250;-500;24;2;164;92;72;58.5;7265.0;44.3;2.34;-1784.0;0.34;0.511;4.07;42;50;0;1;17;54;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL99_dTP250_dSL300_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;99.0;250;-300;0;2;164;92;72;59.8;7412.0;45.19;2.38;-1710.0;0.34;0.516;4.33;54;50;0;4;0;56;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL99_dTP250_dSL500_feos_mhb24_mm2;4620;30;30;64;3.75;20;0.0;99.0;250;-500;24;2;164;92;72;58.5;7265.0;44.3;2.34;-1784.0;0.34;0.511;4.07;42;50;0;1;17;54;True
