label;beta;zp;cp;adf;zE;co;zTP;zSL;dTP;dSL;mhb;mm;trades;long;short;win_rate;pnl_net;pnl_avg;profit_factor;max_dd;sharpe;sortino;calmar;tp_zscore;tp_dollar;sl_zscore;sl_dollar;max_hold;end_session;feos
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.5_zSL4.0_dTP250_nodSL_feos_mhb6_mm2;4620;30;30;64;3.75;20;0.5;4.0;250;0;6;2;162;90;72;53.1;5154.0;31.81;1.91;-1476.0;0.26;0.574;3.49;9;48;9;0;50;46;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.5_zSL4.0_dTP250_dSL300_feos_mhb6_mm2;4620;30;30;64;3.75;20;0.5;4.0;250;-300;6;2;162;90;72;53.1;5154.0;31.81;1.91;-1476.0;0.26;0.574;3.49;9;48;9;0;50;46;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.5_zSL4.0_dTP250_dSL400_feos_mhb6_mm2;4620;30;30;64;3.75;20;0.5;4.0;250;-400;6;2;162;90;72;53.1;5154.0;31.81;1.91;-1476.0;0.26;0.574;3.49;9;48;9;0;50;46;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.5_zSL4.0_dTP250_dSL500_feos_mhb6_mm2;4620;30;30;64;3.75;20;0.5;4.0;250;-500;6;2;162;90;72;53.1;5154.0;31.81;1.91;-1476.0;0.26;0.574;3.49;9;48;9;0;50;46;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.5_zSL4.0_dTP250_dSL600_feos_mhb6_mm2;4620;30;30;64;3.75;20;0.5;4.0;250;-600;6;2;162;90;72;53.1;5154.0;31.81;1.91;-1476.0;0.26;0.574;3.49;9;48;9;0;50;46;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.5_zSL4.0_dTP250_dSL800_feos_mhb6_mm2;4620;30;30;64;3.75;20;0.5;4.0;250;-800;6;2;162;90;72;53.1;5154.0;31.81;1.91;-1476.0;0.26;0.574;3.49;9;48;9;0;50;46;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.5_zSL4.0_dTP250_dSL1000_feos_mhb6_mm2;4620;30;30;64;3.75;20;0.5;4.0;250;-1000;6;2;162;90;72;53.1;5154.0;31.81;1.91;-1476.0;0.26;0.574;3.49;9;48;9;0;50;46;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.75_zSL4.0_dTP250_nodSL_feos_mhb6_mm2;4620;30;30;64;3.75;20;0.75;4.0;250;0;6;2;162;90;72;53.1;5152.0;31.8;1.91;-1519.0;0.26;0.574;3.39;16;47;9;0;45;45;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.75_zSL4.0_dTP250_dSL300_feos_mhb6_mm2;4620;30;30;64;3.75;20;0.75;4.0;250;-300;6;2;162;90;72;53.1;5152.0;31.8;1.91;-1519.0;0.26;0.574;3.39;16;47;9;0;45;45;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.75_zSL4.0_dTP250_dSL400_feos_mhb6_mm2;4620;30;30;64;3.75;20;0.75;4.0;250;-400;6;2;162;90;72;53.1;5152.0;31.8;1.91;-1519.0;0.26;0.574;3.39;16;47;9;0;45;45;True
