label;beta;zp;cp;adf;zE;co;zTP;zSL;dTP;dSL;mhb;mm;trades;long;short;win_rate;pnl_net;pnl_avg;profit_factor;max_dd;sharpe;sortino;calmar;tp_zscore;tp_dollar;sl_zscore;sl_dollar;max_hold;end_session;feos;consistency
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL5.0_dTP250_dSL500_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;5.0;250;-500;0;2;164;92;72;59.8;7711.0;47.02;2.52;-1543.0;0.36;0.548;5.0;57;50;0;1;0;56;True;150.696
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL99_dTP250_dSL500_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;99.0;250;-500;0;2;164;92;72;59.8;7711.0;47.02;2.52;-1543.0;0.36;0.548;5.0;57;50;0;1;0;56;True;150.696
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL5.0_dTP250_dSL600_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;5.0;250;-600;0;2;164;92;72;59.8;7611.0;46.41;2.47;-1643.0;0.35;0.487;4.63;57;50;0;1;0;56;True;147.70600000000002
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL99_dTP250_dSL600_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;99.0;250;-600;0;2;164;92;72;59.8;7611.0;46.41;2.47;-1643.0;0.35;0.487;4.63;57;50;0;1;0;56;True;147.70600000000002
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL5.0_dTP250_nodSL_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;5.0;250;0;0;2;164;92;72;59.8;7597.0;46.32;2.46;-1657.0;0.35;0.479;4.58;58;50;0;0;0;56;True;147.108
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL5.0_dTP250_dSL800_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;5.0;250;-800;0;2;164;92;72;59.8;7597.0;46.32;2.46;-1657.0;0.35;0.479;4.58;58;50;0;0;0;56;True;147.108
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL5.0_dTP250_dSL1000_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;5.0;250;-1000;0;2;164;92;72;59.8;7597.0;46.32;2.46;-1657.0;0.35;0.479;4.58;58;50;0;0;0;56;True;147.108
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL99_dTP250_nodSL_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;99.0;250;0;0;2;164;92;72;59.8;7597.0;46.32;2.46;-1657.0;0.35;0.479;4.58;58;50;0;0;0;56;True;147.108
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL99_dTP250_dSL800_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;99.0;250;-800;0;2;164;92;72;59.8;7597.0;46.32;2.46;-1657.0;0.35;0.479;4.58;58;50;0;0;0;56;True;147.108
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL99_dTP250_dSL1000_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;99.0;250;-1000;0;2;164;92;72;59.8;7597.0;46.32;2.46;-1657.0;0.35;0.479;4.58;58;50;0;0;0;56;True;147.108
b4620_zp30_cp30_adf144_zE3.75_co20_zTP0.0_zSL5.0_dTP250_nodSL_feos_nohold_mm2;4620;30;30;144;3.75;20;0.0;5.0;250;0;0;2;166;93;73;60.8;7690.0;46.32;2.4;-1911.0;0.34;0.453;4.02;58;52;0;0;0;56;True;145.92
b4620_zp30_cp30_adf144_zE3.75_co20_zTP0.0_zSL5.0_dTP250_dSL600_feos_nohold_mm2;4620;30;30;144;3.75;20;0.0;5.0;250;-600;0;2;166;93;73;60.8;7704.0;46.41;2.4;-1897.0;0.34;0.46;4.06;57;52;0;1;0;56;True;145.92
b4620_zp30_cp30_adf144_zE3.75_co20_zTP0.0_zSL5.0_dTP250_dSL800_feos_nohold_mm2;4620;30;30;144;3.75;20;0.0;5.0;250;-800;0;2;166;93;73;60.8;7690.0;46.32;2.4;-1911.0;0.34;0.453;4.02;58;52;0;0;0;56;True;145.92
b4620_zp30_cp30_adf144_zE3.75_co20_zTP0.0_zSL5.0_dTP250_dSL1000_feos_nohold_mm2;4620;30;30;144;3.75;20;0.0;5.0;250;-1000;0;2;166;93;73;60.8;7690.0;46.32;2.4;-1911.0;0.34;0.453;4.02;58;52;0;0;0;56;True;145.92
b4620_zp30_cp30_adf144_zE3.75_co20_zTP0.0_zSL99_dTP250_nodSL_feos_nohold_mm2;4620;30;30;144;3.75;20;0.0;99.0;250;0;0;2;166;93;73;60.8;7690.0;46.32;2.4;-1911.0;0.34;0.453;4.02;58;52;0;0;0;56;True;145.92
b4620_zp30_cp30_adf144_zE3.75_co20_zTP0.0_zSL99_dTP250_dSL600_feos_nohold_mm2;4620;30;30;144;3.75;20;0.0;99.0;250;-600;0;2;166;93;73;60.8;7704.0;46.41;2.4;-1897.0;0.34;0.46;4.06;57;52;0;1;0;56;True;145.92
b4620_zp30_cp30_adf144_zE3.75_co20_zTP0.0_zSL99_dTP250_dSL800_feos_nohold_mm2;4620;30;30;144;3.75;20;0.0;99.0;250;-800;0;2;166;93;73;60.8;7690.0;46.32;2.4;-1911.0;0.34;0.453;4.02;58;52;0;0;0;56;True;145.92
b4620_zp30_cp30_adf144_zE3.75_co20_zTP0.0_zSL99_dTP250_dSL1000_feos_nohold_mm2;4620;30;30;144;3.75;20;0.0;99.0;250;-1000;0;2;166;93;73;60.8;7690.0;46.32;2.4;-1911.0;0.34;0.453;4.02;58;52;0;0;0;56;True;145.92
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL5.0_dTP250_dSL400_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;5.0;250;-400;0;2;164;92;72;59.8;7501.0;45.74;2.42;-1753.0;0.35;0.504;4.28;56;50;0;2;0;56;True;144.71599999999998
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL99_dTP250_dSL400_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;99.0;250;-400;0;2;164;92;72;59.8;7501.0;45.74;2.42;-1753.0;0.35;0.504;4.28;56;50;0;2;0;56;True;144.71599999999998
