label;beta;zp;cp;adf;zE;co;zTP;zSL;dTP;dSL;mhb;mm;trades;long;short;win_rate;pnl_net;pnl_avg;profit_factor;max_dd;sharpe;sortino;calmar;tp_zscore;tp_dollar;sl_zscore;sl_dollar;max_hold;end_session;feos;ratio_tp_dollar
b4620_zp30_cp30_adf144_zE3.75_co20_zTP0.0_zSL5.0_dTP250_nodSL_feos_mhb12_mm2;4620;30;30;144;3.75;20;0.0;5.0;250;0;12;2;166;93;73;55.4;6251.0;37.66;2.07;-1891.0;0.29;0.432;3.31;16;52;0;0;45;53;True;0.3132530120481928
b4620_zp30_cp30_adf144_zE3.75_co20_zTP0.0_zSL5.0_dTP250_dSL400_feos_mhb12_mm2;4620;30;30;144;3.75;20;0.0;5.0;250;-400;12;2;166;93;73;55.4;6251.0;37.66;2.07;-1891.0;0.29;0.432;3.31;16;52;0;0;45;53;True;0.3132530120481928
b4620_zp30_cp30_adf144_zE3.75_co20_zTP0.0_zSL5.0_dTP250_dSL500_feos_mhb12_mm2;4620;30;30;144;3.75;20;0.0;5.0;250;-500;12;2;166;93;73;55.4;6251.0;37.66;2.07;-1891.0;0.29;0.432;3.31;16;52;0;0;45;53;True;0.3132530120481928
b4620_zp30_cp30_adf144_zE3.75_co20_zTP0.0_zSL5.0_dTP250_dSL600_feos_mhb12_mm2;4620;30;30;144;3.75;20;0.0;5.0;250;-600;12;2;166;93;73;55.4;6251.0;37.66;2.07;-1891.0;0.29;0.432;3.31;16;52;0;0;45;53;True;0.3132530120481928
b4620_zp30_cp30_adf144_zE3.75_co20_zTP0.0_zSL5.0_dTP250_dSL800_feos_mhb12_mm2;4620;30;30;144;3.75;20;0.0;5.0;250;-800;12;2;166;93;73;55.4;6251.0;37.66;2.07;-1891.0;0.29;0.432;3.31;16;52;0;0;45;53;True;0.3132530120481928
b4620_zp30_cp30_adf144_zE3.75_co20_zTP0.0_zSL5.0_dTP250_dSL1000_feos_mhb12_mm2;4620;30;30;144;3.75;20;0.0;5.0;250;-1000;12;2;166;93;73;55.4;6251.0;37.66;2.07;-1891.0;0.29;0.432;3.31;16;52;0;0;45;53;True;0.3132530120481928
b4620_zp30_cp30_adf144_zE3.75_co20_zTP0.0_zSL99_dTP250_nodSL_feos_mhb12_mm2;4620;30;30;144;3.75;20;0.0;99.0;250;0;12;2;166;93;73;55.4;6251.0;37.66;2.07;-1891.0;0.29;0.432;3.31;16;52;0;0;45;53;True;0.3132530120481928
b4620_zp30_cp30_adf144_zE3.75_co20_zTP0.0_zSL99_dTP250_dSL400_feos_mhb12_mm2;4620;30;30;144;3.75;20;0.0;99.0;250;-400;12;2;166;93;73;55.4;6251.0;37.66;2.07;-1891.0;0.29;0.432;3.31;16;52;0;0;45;53;True;0.3132530120481928
b4620_zp30_cp30_adf144_zE3.75_co20_zTP0.0_zSL99_dTP250_dSL500_feos_mhb12_mm2;4620;30;30;144;3.75;20;0.0;99.0;250;-500;12;2;166;93;73;55.4;6251.0;37.66;2.07;-1891.0;0.29;0.432;3.31;16;52;0;0;45;53;True;0.3132530120481928
b4620_zp30_cp30_adf144_zE3.75_co20_zTP0.0_zSL99_dTP250_dSL600_feos_mhb12_mm2;4620;30;30;144;3.75;20;0.0;99.0;250;-600;12;2;166;93;73;55.4;6251.0;37.66;2.07;-1891.0;0.29;0.432;3.31;16;52;0;0;45;53;True;0.3132530120481928
b4620_zp30_cp30_adf144_zE3.75_co20_zTP0.0_zSL99_dTP250_dSL800_feos_mhb12_mm2;4620;30;30;144;3.75;20;0.0;99.0;250;-800;12;2;166;93;73;55.4;6251.0;37.66;2.07;-1891.0;0.29;0.432;3.31;16;52;0;0;45;53;True;0.3132530120481928
b4620_zp30_cp30_adf144_zE3.75_co20_zTP0.0_zSL99_dTP250_dSL1000_feos_mhb12_mm2;4620;30;30;144;3.75;20;0.0;99.0;250;-1000;12;2;166;93;73;55.4;6251.0;37.66;2.07;-1891.0;0.29;0.432;3.31;16;52;0;0;45;53;True;0.3132530120481928
b4620_zp30_cp30_adf144_zE3.75_co20_zTP-0.5_zSL5.0_dTP250_nodSL_feos_mhb12_mm2;4620;30;30;144;3.75;20;-0.5;5.0;250;0;12;2;166;93;73;54.8;6153.0;37.07;2.05;-1917.0;0.28;0.427;3.21;10;53;0;0;49;54;True;0.3192771084337349
b4620_zp30_cp30_adf144_zE3.75_co20_zTP-0.5_zSL5.0_dTP250_dSL400_feos_mhb12_mm2;4620;30;30;144;3.75;20;-0.5;5.0;250;-400;12;2;166;93;73;54.8;6153.0;37.07;2.05;-1917.0;0.28;0.427;3.21;10;53;0;0;49;54;True;0.3192771084337349
b4620_zp30_cp30_adf144_zE3.75_co20_zTP-0.5_zSL5.0_dTP250_dSL500_feos_mhb12_mm2;4620;30;30;144;3.75;20;-0.5;5.0;250;-500;12;2;166;93;73;54.8;6153.0;37.07;2.05;-1917.0;0.28;0.427;3.21;10;53;0;0;49;54;True;0.3192771084337349
b4620_zp30_cp30_adf144_zE3.75_co20_zTP-0.5_zSL5.0_dTP250_dSL600_feos_mhb12_mm2;4620;30;30;144;3.75;20;-0.5;5.0;250;-600;12;2;166;93;73;54.8;6153.0;37.07;2.05;-1917.0;0.28;0.427;3.21;10;53;0;0;49;54;True;0.3192771084337349
b4620_zp30_cp30_adf144_zE3.75_co20_zTP-0.5_zSL5.0_dTP250_dSL800_feos_mhb12_mm2;4620;30;30;144;3.75;20;-0.5;5.0;250;-800;12;2;166;93;73;54.8;6153.0;37.07;2.05;-1917.0;0.28;0.427;3.21;10;53;0;0;49;54;True;0.3192771084337349
b4620_zp30_cp30_adf144_zE3.75_co20_zTP-0.5_zSL5.0_dTP250_dSL1000_feos_mhb12_mm2;4620;30;30;144;3.75;20;-0.5;5.0;250;-1000;12;2;166;93;73;54.8;6153.0;37.07;2.05;-1917.0;0.28;0.427;3.21;10;53;0;0;49;54;True;0.3192771084337349
b4620_zp30_cp30_adf144_zE3.75_co20_zTP-0.5_zSL99_dTP250_nodSL_feos_mhb12_mm2;4620;30;30;144;3.75;20;-0.5;99.0;250;0;12;2;166;93;73;54.8;6153.0;37.07;2.05;-1917.0;0.28;0.427;3.21;10;53;0;0;49;54;True;0.3192771084337349
b4620_zp30_cp30_adf144_zE3.75_co20_zTP-0.5_zSL99_dTP250_dSL400_feos_mhb12_mm2;4620;30;30;144;3.75;20;-0.5;99.0;250;-400;12;2;166;93;73;54.8;6153.0;37.07;2.05;-1917.0;0.28;0.427;3.21;10;53;0;0;49;54;True;0.3192771084337349
