label;beta;zp;cp;adf;zE;co;zTP;zSL;dTP;dSL;mhb;mm;trades;long;short;win_rate;pnl_net;pnl_avg;profit_factor;max_dd;sharpe;sortino;calmar;tp_zscore;tp_dollar;sl_zscore;sl_dollar;max_hold;end_session;feos
b4620_zp30_cp36_adf64_zE3.75_co20_zTP0.0_zSL5.0_dTP250_dSL500_feos_nohold_mm2;4620;30;36;64;3.75;20;0.0;5.0;250;-500;0;2;161;90;71;59.0;7458.0;46.32;2.4;-1498.0;0.34;0.438;4.98;57;49;0;2;0;53;True
b4620_zp30_cp36_adf64_zE3.75_co20_zTP0.0_zSL99_dTP250_dSL500_feos_nohold_mm2;4620;30;36;64;3.75;20;0.0;99.0;250;-500;0;2;161;90;71;59.0;7458.0;46.32;2.4;-1498.0;0.34;0.438;4.98;57;49;0;2;0;53;True
b4620_zp30_cp24_adf144_zE3.75_co20_zTP-1.5_zSL4.0_dTP250_nodSL_feos_nohold_mm2;4620;30;24;144;3.75;20;-1.5;4.0;250;0;0;2;164;89;75;59.1;7117.0;43.4;2.13;-1322.0;0.3;0.415;5.38;43;59;7;0;0;55;True
b4620_zp30_cp24_adf144_zE3.75_co20_zTP-1.5_zSL4.0_dTP250_dSL800_feos_nohold_mm2;4620;30;24;144;3.75;20;-1.5;4.0;250;-800;0;2;164;89;75;59.1;7117.0;43.4;2.13;-1322.0;0.3;0.415;5.38;43;59;7;0;0;55;True
b4620_zp30_cp24_adf144_zE3.75_co20_zTP-1.5_zSL4.0_dTP250_dSL1000_feos_nohold_mm2;4620;30;24;144;3.75;20;-1.5;4.0;250;-1000;0;2;164;89;75;59.1;7117.0;43.4;2.13;-1322.0;0.3;0.415;5.38;43;59;7;0;0;55;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.75_zSL5.0_dTP250_dSL500_feos_nohold_mm2;4620;30;30;64;3.75;20;0.75;5.0;250;-500;0;2;165;92;73;57.6;7029.0;42.6;2.47;-1395.0;0.34;0.523;5.04;66;47;0;1;0;51;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.75_zSL5.0_dTP250_dSL500_feos_mhb24_mm2;4620;30;30;64;3.75;20;0.75;5.0;250;-500;24;2;165;92;73;57.6;7029.0;42.6;2.47;-1395.0;0.34;0.523;5.04;66;47;0;1;0;51;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.75_zSL99_dTP250_dSL500_feos_nohold_mm2;4620;30;30;64;3.75;20;0.75;99.0;250;-500;0;2;165;92;73;57.6;7029.0;42.6;2.47;-1395.0;0.34;0.523;5.04;66;47;0;1;0;51;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.75_zSL99_dTP250_dSL500_feos_mhb24_mm2;4620;30;30;64;3.75;20;0.75;99.0;250;-500;24;2;165;92;73;57.6;7029.0;42.6;2.47;-1395.0;0.34;0.523;5.04;66;47;0;1;0;51;True
b4620_zp30_cp24_adf144_zE3.75_co20_zTP-1.5_zSL4.0_dTP250_dSL600_feos_nohold_mm2;4620;30;24;144;3.75;20;-1.5;4.0;250;-600;0;2;164;89;75;59.1;7021.0;42.81;2.09;-1418.0;0.29;0.383;4.95;42;59;7;1;0;55;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.75_zSL5.0_dTP250_nodSL_feos_mhb24_mm2;4620;30;30;64;3.75;20;0.75;5.0;250;0;24;2;165;92;73;57.6;7011.0;42.49;2.46;-1413.0;0.34;0.511;4.96;66;47;0;0;1;51;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.75_zSL5.0_dTP250_dSL800_feos_mhb24_mm2;4620;30;30;64;3.75;20;0.75;5.0;250;-800;24;2;165;92;73;57.6;7011.0;42.49;2.46;-1413.0;0.34;0.511;4.96;66;47;0;0;1;51;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.75_zSL5.0_dTP250_dSL1000_feos_mhb24_mm2;4620;30;30;64;3.75;20;0.75;5.0;250;-1000;24;2;165;92;73;57.6;7011.0;42.49;2.46;-1413.0;0.34;0.511;4.96;66;47;0;0;1;51;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.75_zSL99_dTP250_nodSL_feos_mhb24_mm2;4620;30;30;64;3.75;20;0.75;99.0;250;0;24;2;165;92;73;57.6;7011.0;42.49;2.46;-1413.0;0.34;0.511;4.96;66;47;0;0;1;51;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.75_zSL99_dTP250_dSL800_feos_mhb24_mm2;4620;30;30;64;3.75;20;0.75;99.0;250;-800;24;2;165;92;73;57.6;7011.0;42.49;2.46;-1413.0;0.34;0.511;4.96;66;47;0;0;1;51;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.75_zSL99_dTP250_dSL1000_feos_mhb24_mm2;4620;30;30;64;3.75;20;0.75;99.0;250;-1000;24;2;165;92;73;57.6;7011.0;42.49;2.46;-1413.0;0.34;0.511;4.96;66;47;0;0;1;51;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.75_zSL5.0_dTP250_nodSL_feos_nohold_mm2;4620;30;30;64;3.75;20;0.75;5.0;250;0;0;2;165;92;73;57.6;7003.0;42.44;2.45;-1421.0;0.34;0.506;4.93;67;47;0;0;0;51;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.75_zSL5.0_dTP250_dSL800_feos_nohold_mm2;4620;30;30;64;3.75;20;0.75;5.0;250;-800;0;2;165;92;73;57.6;7003.0;42.44;2.45;-1421.0;0.34;0.506;4.93;67;47;0;0;0;51;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.75_zSL5.0_dTP250_dSL1000_feos_nohold_mm2;4620;30;30;64;3.75;20;0.75;5.0;250;-1000;0;2;165;92;73;57.6;7003.0;42.44;2.45;-1421.0;0.34;0.506;4.93;67;47;0;0;0;51;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.75_zSL99_dTP250_nodSL_feos_nohold_mm2;4620;30;30;64;3.75;20;0.75;99.0;250;0;0;2;165;92;73;57.6;7003.0;42.44;2.45;-1421.0;0.34;0.506;4.93;67;47;0;0;0;51;True
