label;beta;zp;cp;adf;zE;co;zTP;zSL;dTP;dSL;mhb;mm;trades;long;short;win_rate;pnl_net;pnl_avg;profit_factor;max_dd;sharpe;sortino;calmar;tp_zscore;tp_dollar;sl_zscore;sl_dollar;max_hold;end_session;feos;calmar_tmp;consistency_tmp;rank_pnl;rank_calmar;rank_sharpe;rank_consistency;balanced
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL5.0_dTP250_dSL500_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;5.0;250;-500;0;2;164;92;72;59.8;7711.0;47.02;2.52;-1543.0;0.36;0.548;5.0;57;50;0;1;0;56;True;4.997407647440052;150.696;0.9999625200517723;0.9996676777923811;0.9999975013367848;0.9999975013367848;0.9999063001294308
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL99_dTP250_dSL500_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;99.0;250;-500;0;2;164;92;72;59.8;7711.0;47.02;2.52;-1543.0;0.36;0.548;5.0;57;50;0;1;0;56;True;4.997407647440052;150.696;0.9999625200517723;0.9996676777923811;0.9999975013367848;0.9999975013367848;0.9999063001294308
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL5.0_dTP250_dSL600_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;5.0;250;-600;0;2;164;92;72;59.8;7611.0;46.41;2.47;-1643.0;0.35;0.487;4.63;57;50;0;1;0;56;True;4.632379793061473;147.70600000000002;0.9998975548081777;0.9993028729629648;0.9999625200517723;0.9999875066839241;0.9997876136267098
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL99_dTP250_dSL600_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;99.0;250;-600;0;2;164;92;72;59.8;7611.0;46.41;2.47;-1643.0;0.35;0.487;4.63;57;50;0;1;0;56;True;4.632379793061473;147.70600000000002;0.9998975548081777;0.9993028729629648;0.9999625200517723;0.9999875066839241;0.9997876136267098
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL5.0_dTP250_nodSL_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;5.0;250;0;0;2;164;92;72;59.8;7597.0;46.32;2.46;-1657.0;0.35;0.479;4.58;58;50;0;0;0;56;True;4.5847917923958965;147.108;0.999847581543874;0.9992329103929398;0.9999625200517723;0.9999675173782027;0.9997526323416972
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL5.0_dTP250_dSL800_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;5.0;250;-800;0;2;164;92;72;59.8;7597.0;46.32;2.46;-1657.0;0.35;0.479;4.58;58;50;0;0;0;56;True;4.5847917923958965;147.108;0.999847581543874;0.9992329103929398;0.9999625200517723;0.9999675173782027;0.9997526323416972
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL5.0_dTP250_dSL1000_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;5.0;250;-1000;0;2;164;92;72;59.8;7597.0;46.32;2.46;-1657.0;0.35;0.479;4.58;58;50;0;0;0;56;True;4.5847917923958965;147.108;0.999847581543874;0.9992329103929398;0.9999625200517723;0.9999675173782027;0.9997526323416972
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL99_dTP250_nodSL_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;99.0;250;0;0;2;164;92;72;59.8;7597.0;46.32;2.46;-1657.0;0.35;0.479;4.58;58;50;0;0;0;56;True;4.5847917923958965;147.108;0.999847581543874;0.9992329103929398;0.9999625200517723;0.9999675173782027;0.9997526323416972
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL99_dTP250_dSL800_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;99.0;250;-800;0;2;164;92;72;59.8;7597.0;46.32;2.46;-1657.0;0.35;0.479;4.58;58;50;0;0;0;56;True;4.5847917923958965;147.108;0.999847581543874;0.9992329103929398;0.9999625200517723;0.9999675173782027;0.9997526323416972
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL99_dTP250_dSL1000_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;99.0;250;-1000;0;2;164;92;72;59.8;7597.0;46.32;2.46;-1657.0;0.35;0.479;4.58;58;50;0;0;0;56;True;4.5847917923958965;147.108;0.999847581543874;0.9992329103929398;0.9999625200517723;0.9999675173782027;0.9997526323416972
b4620_zp30_cp36_adf64_zE3.75_co20_zTP0.0_zSL5.0_dTP250_dSL500_feos_nohold_mm2;4620;30;36;64;3.75;20;0.0;5.0;250;-500;0;2;161;90;71;59.0;7458.0;46.32;2.4;-1498.0;0.34;0.438;4.98;57;49;0;2;0;53;True;4.978638184245661;141.6;0.9997126537302543;0.9996576831395203;0.9998425842174437;0.999777618973849;0.9997476350152668
b4620_zp30_cp36_adf64_zE3.75_co20_zTP0.0_zSL99_dTP250_dSL500_feos_nohold_mm2;4620;30;36;64;3.75;20;0.0;99.0;250;-500;0;2;161;90;71;59.0;7458.0;46.32;2.4;-1498.0;0.34;0.438;4.98;57;49;0;2;0;53;True;4.978638184245661;141.6;0.9997126537302543;0.9996576831395203;0.9998425842174437;0.999777618973849;0.9997476350152668
b4620_zp30_cp30_adf64_zE3.75_co20_zTP-0.5_zSL5.0_dTP250_dSL300_feos_nohold_mm2;4620;30;30;64;3.75;20;-0.5;5.0;250;-300;0;2;164;92;72;61.0;7605.0;46.37;2.34;-1784.0;0.35;0.527;4.26;50;53;0;4;0;57;True;4.262892376681615;142.73999999999998;0.9998875601553169;0.9979236108681855;0.9999625200517723;0.9998775655024562;0.9994128141444327
b4620_zp30_cp30_adf64_zE3.75_co20_zTP-0.5_zSL99_dTP250_dSL300_feos_nohold_mm2;4620;30;30;64;3.75;20;-0.5;99.0;250;-300;0;2;164;92;72;61.0;7605.0;46.37;2.34;-1784.0;0.35;0.527;4.26;50;53;0;4;0;57;True;4.262892376681615;142.73999999999998;0.9998875601553169;0.9979236108681855;0.9999625200517723;0.9998775655024562;0.9994128141444327
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL5.0_dTP250_dSL400_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;5.0;250;-400;0;2;164;92;72;59.8;7501.0;45.74;2.42;-1753.0;0.35;0.504;4.28;56;50;0;2;0;56;True;4.278950370792926;144.71599999999998;0.9997626269945579;0.9979885761117802;0.9999625200517723;0.9999075494610383;0.9994053181547872
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.0_zSL99_dTP250_dSL400_feos_nohold_mm2;4620;30;30;64;3.75;20;0.0;99.0;250;-400;0;2;164;92;72;59.8;7501.0;45.74;2.42;-1753.0;0.35;0.504;4.28;56;50;0;2;0;56;True;4.278950370792926;144.71599999999998;0.9997626269945579;0.9979885761117802;0.9999625200517723;0.9999075494610383;0.9994053181547872
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.75_zSL5.0_dTP250_dSL500_feos_nohold_mm2;4620;30;30;64;3.75;20;0.75;5.0;250;-500;0;2;165;92;73;57.6;7029.0;42.6;2.47;-1395.0;0.34;0.523;5.04;66;47;0;1;0;51;True;5.038709677419355;142.27200000000002;0.9982159544643616;0.9997226483831151;0.9998425842174437;0.9998225949117222;0.9994009454941607
b4620_zp30_cp30_adf64_zE3.75_co20_zTP0.75_zSL5.0_dTP250_dSL500_feos_mhb24_mm2;4620;30;30;64;3.75;20;0.75;5.0;250;-500;24;2;165;92;73;57.6;7029.0;42.6;2.47;-1395.0;0.34;0.523;5.04;66;47;0;1;0;51;True;5.038709677419355;142.27200000000002;0.9982159544643616;0.9997226483831151;0.9998425842174437;0.9998225949117222;0.9994009454941607
