label;beta;zp;cp;adf;zE;co;zTP;zSL;dTP;dSL;mhb;mm;trades;long;short;win_rate;pnl_net;pnl_avg;profit_factor;max_dd;sharpe;sortino;calmar;tp_zscore;tp_dollar;sl_zscore;sl_dollar;max_hold;end_session;feos
b4620_zp30_cp30_adf64_zE3.75_co20_zTP1.0_zSL4.0_dTP250_nodSL_feos_nohold_mm2;4620;30;30;64;3.75;20;1.0;4.0;250;0;0;2;162;90;72;54.9;6385.0;39.41;2.28;-1512.0;0.32;0.504;4.22;62;47;9;0;0;44;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP1.0_zSL4.0_dTP250_nodSL_feos_mhb24_mm2;4620;30;30;64;3.75;20;1.0;4.0;250;0;24;2;162;90;72;54.9;6385.0;39.41;2.28;-1512.0;0.32;0.504;4.22;62;47;9;0;0;44;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP1.0_zSL4.0_dTP250_dSL800_feos_nohold_mm2;4620;30;30;64;3.75;20;1.0;4.0;250;-800;0;2;162;90;72;54.9;6385.0;39.41;2.28;-1512.0;0.32;0.504;4.22;62;47;9;0;0;44;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP1.0_zSL4.0_dTP250_dSL800_feos_mhb24_mm2;4620;30;30;64;3.75;20;1.0;4.0;250;-800;24;2;162;90;72;54.9;6385.0;39.41;2.28;-1512.0;0.32;0.504;4.22;62;47;9;0;0;44;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP1.0_zSL4.0_dTP250_dSL1000_feos_nohold_mm2;4620;30;30;64;3.75;20;1.0;4.0;250;-1000;0;2;162;90;72;54.9;6385.0;39.41;2.28;-1512.0;0.32;0.504;4.22;62;47;9;0;0;44;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP1.0_zSL4.0_dTP250_dSL1000_feos_mhb24_mm2;4620;30;30;64;3.75;20;1.0;4.0;250;-1000;24;2;162;90;72;54.9;6385.0;39.41;2.28;-1512.0;0.32;0.504;4.22;62;47;9;0;0;44;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP1.0_zSL4.0_dTP250_dSL500_feos_nohold_mm2;4620;30;30;64;3.75;20;1.0;4.0;250;-500;0;2;162;90;72;54.9;6369.0;39.31;2.27;-1528.0;0.32;0.494;4.17;61;47;9;1;0;44;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP1.0_zSL4.0_dTP250_dSL500_feos_mhb24_mm2;4620;30;30;64;3.75;20;1.0;4.0;250;-500;24;2;162;90;72;54.9;6369.0;39.31;2.27;-1528.0;0.32;0.494;4.17;61;47;9;1;0;44;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP1.0_zSL4.0_dTP250_dSL600_feos_nohold_mm2;4620;30;30;64;3.75;20;1.0;4.0;250;-600;0;2;162;90;72;54.9;6269.0;38.7;2.23;-1628.0;0.3;0.435;3.85;61;47;9;1;0;44;True
b4620_zp30_cp30_adf64_zE3.75_co20_zTP1.0_zSL4.0_dTP250_dSL600_feos_mhb24_mm2;4620;30;30;64;3.75;20;1.0;4.0;250;-600;24;2;162;90;72;54.9;6269.0;38.7;2.23;-1628.0;0.3;0.435;3.85;61;47;9;1;0;44;True
b4620_zp30_cp24_adf64_zE3.75_co20_zTP1.0_zSL4.0_dTP250_nodSL_feos_nohold_mm2;4620;30;24;64;3.75;20;1.0;4.0;250;0;0;2;155;84;71;54.2;5860.0;37.81;2.21;-1453.0;0.31;0.468;4.03;60;45;8;0;0;42;True
b4620_zp30_cp24_adf64_zE3.75_co20_zTP1.0_zSL4.0_dTP250_nodSL_feos_mhb24_mm2;4620;30;24;64;3.75;20;1.0;4.0;250;0;24;2;155;84;71;54.2;5860.0;37.81;2.21;-1453.0;0.31;0.468;4.03;60;45;8;0;0;42;True
b4620_zp30_cp24_adf64_zE3.75_co20_zTP1.0_zSL4.0_dTP250_dSL800_feos_nohold_mm2;4620;30;24;64;3.75;20;1.0;4.0;250;-800;0;2;155;84;71;54.2;5860.0;37.81;2.21;-1453.0;0.31;0.468;4.03;60;45;8;0;0;42;True
b4620_zp30_cp24_adf64_zE3.75_co20_zTP1.0_zSL4.0_dTP250_dSL800_feos_mhb24_mm2;4620;30;24;64;3.75;20;1.0;4.0;250;-800;24;2;155;84;71;54.2;5860.0;37.81;2.21;-1453.0;0.31;0.468;4.03;60;45;8;0;0;42;True
b4620_zp30_cp24_adf64_zE3.75_co20_zTP1.0_zSL4.0_dTP250_dSL1000_feos_nohold_mm2;4620;30;24;64;3.75;20;1.0;4.0;250;-1000;0;2;155;84;71;54.2;5860.0;37.81;2.21;-1453.0;0.31;0.468;4.03;60;45;8;0;0;42;True
b4620_zp30_cp24_adf64_zE3.75_co20_zTP1.0_zSL4.0_dTP250_dSL1000_feos_mhb24_mm2;4620;30;24;64;3.75;20;1.0;4.0;250;-1000;24;2;155;84;71;54.2;5860.0;37.81;2.21;-1453.0;0.31;0.468;4.03;60;45;8;0;0;42;True
b4620_zp30_cp24_adf48_zE3.75_co20_zTP1.0_zSL5.0_dTP250_nodSL_feos_nohold_mm2;4620;30;24;48;3.75;20;1.0;5.0;250;0;0;2;163;89;74;54.0;6004.0;36.84;2.21;-2000.0;0.29;0.419;3.0;65;47;0;0;0;51;True
b4620_zp30_cp24_adf48_zE3.75_co20_zTP1.0_zSL5.0_dTP250_dSL800_feos_nohold_mm2;4620;30;24;48;3.75;20;1.0;5.0;250;-800;0;2;163;89;74;54.0;6004.0;36.84;2.21;-2000.0;0.29;0.419;3.0;65;47;0;0;0;51;True
