Trade_No;Direction;Entry_DateTime;Exit_DateTime;Duration_Min;Entry_GC;Entry_SI;Exit_GC;Exit_SI;Entry_ZScore;Exit_ZScore;Exit_Reason;Beta;GC_Contracts;SI_Contracts;PnL_GC;PnL_SI;PnL_Gross;Costs;PnL_Net;Max_PnL_Intra;Min_PnL_Intra;PnL_Cumul
1;SHORT;2023-02-14 08:20:00;2023-02-14 12:15:00;235.0;2310.2;26.737;2315.7;26.922;3.66;-1.4;TP_ZSCORE;2.0554;2;1;110.0;-185.0;-75.0;32.5;-107.5;49.0;-134.0;-107.5
2;LONG;2023-03-14 19:00:00;2023-03-14 20:35:00;95.0;2353.5;26.657;2356.0;26.777;-4.11;1.32;TP_ZSCORE;1.9825;2;1;-50.0;120.0;70.0;32.5;37.5;88.0;-15.0;-70.0
3;SHORT;2023-03-15 06:40:00;2023-03-15 08:35:00;115.0;2368.1;27.092;2370.7;27.037;3.59;-1.91;TP_ZSCORE;1.1152;1;1;26.0;55.0;81.0;27.0;54.0;81.0;-164.0;-16.0
4;LONG;2023-03-27 23:55:00;2023-03-28 00:50:00;55.0;2406.2;28.022;2408.2;28.102;-3.67;1.69;TP_ZSCORE;1.2366;1;1;-20.0;80.0;60.0;27.0;33.0;60.0;-4.0;17.0
5;LONG;2023-03-29 06:00:00;2023-03-29 07:40:00;100.0;2417.1;28.307;2411.8;28.247;-3.55;1.47;TP_ZSCORE;1.43;2;1;106.0;-60.0;46.0;32.5;13.5;46.0;-74.0;30.5
6;LONG;2023-04-12 07:30:00;2023-04-12 07:50:00;20.0;2471.5;30.547;2467.7;30.622;-3.69;1.28;TP_ZSCORE;2.4598;3;1;114.0;75.0;189.0;38.0;151.0;189.0;0.0;181.5
7;SHORT;2023-04-17 07:30:00;2023-04-17 09:15:00;105.0;2446.2;30.387;2436.6;30.152;3.64;-1.18;TP_ZSCORE;2.0793;3;1;-288.0;235.0;-53.0;38.0;-91.0;1.0;-109.0;90.5
8;SHORT;2023-04-19 20:30:00;2023-04-19 20:40:00;10.0;2439.2;30.327;2437.5;30.227;3.51;-2.11;TP_ZSCORE;1.1;1;1;-17.0;100.0;83.0;27.0;56.0;83.0;0.0;146.5
9;LONG;2023-04-20 10:05:00;2023-04-20 12:15:00;130.0;2442.6;30.122;2449.9;30.267;-3.5;1.09;TP_ZSCORE;1.2304;2;1;-146.0;145.0;-1.0;32.5;-33.5;25.0;-51.0;113.0
10;LONG;2023-04-24 00:40:00;2023-04-24 01:05:00;25.0;2418.6;29.762;2420.9;29.857;-3.78;1.37;TP_ZSCORE;1.2844;2;1;-46.0;95.0;49.0;32.5;16.5;49.0;0.0;129.5
11;LONG;2023-04-26 06:00:00;2023-04-26 06:50:00;50.0;2440.0;29.872;2437.6;30.007;-3.86;2.03;TP_ZSCORE;1.2723;2;1;48.0;135.0;183.0;32.5;150.5;183.0;0.0;280.0
12;LONG;2023-05-15 05:55:00;2023-05-15 07:25:00;90.0;2450.0;28.81;2449.0;28.905;-3.58;2.23;TP_ZSCORE;0.1076;1;1;10.0;95.0;105.0;27.0;78.0;105.0;-51.0;358.0
13;LONG;2023-05-16 00:30:00;2023-05-16 02:40:00;130.0;2449.2;28.775;2442.6;28.67;-3.65;1.43;TP_ZSCORE;-0.0956;1;1;66.0;-105.0;-39.0;27.0;-66.0;10.0;-123.0;292.0
14;SHORT;2023-05-29 20:20:00;2023-05-29 21:35:00;75.0;2373.5;28.0;2374.7;27.98;3.58;-1.27;TP_ZSCORE;1.1937;1;1;12.0;20.0;32.0;27.0;5.0;32.0;-30.0;297.0
15;LONG;2023-06-11 20:00:00;2023-06-12 00:05:00;245.0;2384.7;28.945;2384.4;28.92;-3.81;2.92;TP_ZSCORE;1.265;2;1;6.0;-25.0;-19.0;32.5;-51.5;17.0;-50.0;245.5
16;LONG;2023-06-14 20:00:00;2023-06-14 22:35:00;155.0;2360.6;28.44;2359.9;28.215;-3.7;1.31;TP_ZSCORE;0.6925;1;1;7.0;-225.0;-218.0;27.0;-245.0;0.0;-270.0;0.5
17;SHORT;2023-06-15 20:00:00;2023-06-15 23:25:00;205.0;2381.9;28.665;2380.1;28.645;3.9;-1.03;TP_ZSCORE;1.0977;1;1;-18.0;20.0;2.0;27.0;-25.0;47.0;-38.0;-24.5
18;LONG;2023-07-17 00:10:00;2023-07-17 02:10:00;120.0;2370.0;29.525;2368.6;29.52;-3.61;1.22;TP_ZSCORE;3.6808;5;1;70.0;-5.0;65.0;49.0;16.0;65.0;-80.0;-8.5
19;LONG;2023-07-27 08:00:00;2023-07-27 10:05:00;125.0;2367.5;29.225;2355.9;28.79;-3.51;1.1;TP_ZSCORE;1.4412;2;1;232.0;-435.0;-203.0;32.5;-235.5;43.0;-287.0;-244.0
20;SHORT;2023-08-25 09:30:00;2023-08-25 11:30:00;120.0;2307.4;28.56;2309.7;28.66;3.83;-1.24;TP_ZSCORE;2.3414;3;1;69.0;-100.0;-31.0;38.0;-69.0;47.0;-101.0;-313.0
21;SHORT;2023-09-14 07:30:00;2023-09-14 09:05:00;95.0;2295.5;26.86;2294.9;26.735;3.64;-1.1;TP_ZSCORE;3.418;4;1;-24.0;125.0;101.0;43.5;57.5;112.0;-10.0;-255.5
22;SHORT;2023-09-26 07:35:00;2023-09-26 10:35:00;180.0;2296.4;27.3;2294.7;27.295;3.56;-1.02;TP_ZSCORE;2.5664;3;1;-51.0;5.0;-46.0;38.0;-84.0;36.0;-88.0;-339.5
23;SHORT;2023-09-28 17:30:00;2023-09-28 19:00:00;90.0;2254.2;26.985;2255.9;27.005;3.59;-1.31;TP_ZSCORE;1.1286;1;1;17.0;-20.0;-3.0;27.0;-30.0;7.0;-22.0;-369.5
24;SHORT;2023-10-06 07:45:00;2023-10-08 17:30:00;3465.0;2198.3;25.27;2234.0;26.045;3.66;-4.19;TP_ZSCORE;1.9996;2;1;714.0;-775.0;-61.0;32.5;-93.5;77.0;-230.0;-463.0
25;LONG;2023-10-08 17:30:00;2023-10-08 19:10:00;100.0;2234.0;26.045;2233.6;26.12;-4.19;1.17;TP_ZSCORE;1.9956;2;1;8.0;75.0;83.0;32.5;50.5;87.0;-20.0;-412.5
26;LONG;2023-10-22 17:30:00;2023-10-22 19:10:00;100.0;2361.8;27.545;2355.1;27.435;-3.85;1.48;TP_ZSCORE;1.0365;1;1;67.0;-110.0;-43.0;27.0;-70.0;0.0;-70.0;-482.5
27;SHORT;2023-11-03 07:30:00;2023-11-03 11:05:00;215.0;2379.7;27.18;2371.5;27.36;4.15;-1.17;TP_ZSCORE;0.8655;1;1;-82.0;-180.0;-262.0;27.0;-289.0;0.0;-357.0;-771.5
28;SHORT;2023-11-14 07:30:00;2023-11-14 12:00:00;270.0;2333.4;26.91;2339.4;27.275;3.8;-1.04;TP_ZSCORE;1.2626;1;1;60.0;-365.0;-305.0;27.0;-332.0;66.0;-344.0;-1103.5
29;SHORT;2023-11-19 17:55:00;2023-11-19 18:35:00;40.0;2349.1;27.79;2350.3;27.78;3.59;-1.65;TP_ZSCORE;2.3889;3;1;36.0;10.0;46.0;38.0;8.0;46.0;0.0;-1095.5
30;LONG;2023-11-29 07:00:00;2023-11-29 07:50:00;50.0;2413.1;29.04;2412.4;29.135;-3.52;1.57;TP_ZSCORE;1.8921;2;1;14.0;95.0;109.0;32.5;76.5;109.0;-33.0;-1019.0
31;LONG;2023-12-12 18:00:00;2023-12-12 19:55:00;115.0;2348.5;26.853;2346.8;26.803;-4.17;1.4;TP_ZSCORE;1.8992;2;1;34.0;-50.0;-16.0;32.5;-48.5;4.0;-35.0;-1067.5
32;LONG;2023-12-14 17:30:00;2023-12-14 18:05:00;35.0;2404.1;28.213;2400.5;28.168;-3.54;1.06;TP_ZSCORE;2.1853;3;1;108.0;-45.0;63.0;38.0;25.0;63.0;0.0;-1042.5
33;SHORT;2023-12-15 12:15:00;2023-12-17 17:30:00;3195.0;2389.6;27.928;2382.8;27.798;3.89;-2.78;TP_ZSCORE;2.0939;2;1;-136.0;130.0;-6.0;32.5;-38.5;0.0;-79.0;-1081.0
34;LONG;2023-12-28 17:30:00;2023-12-28 22:05:00;275.0;2427.4;27.923;2430.7;27.843;-3.96;1.86;TP_ZSCORE;0.5967;1;1;-33.0;-80.0;-113.0;27.0;-140.0;19.0;-144.0;-1221.0
35;SHORT;2024-01-09 07:20:00;2024-01-09 07:35:00;15.0;2390.1;27.068;2396.2;27.158;3.58;-1.35;TP_ZSCORE;2.535;3;1;183.0;-90.0;93.0;38.0;55.0;93.0;0.0;-1166.0
36;LONG;2024-01-10 04:00:00;2024-01-10 06:40:00;160.0;2396.4;27.033;2389.9;26.888;-3.57;2.11;TP_ZSCORE;2.3771;3;1;195.0;-145.0;50.0;38.0;12.0;50.0;-11.0;-1154.0
37;SHORT;2024-01-28 17:30:00;2024-01-28 18:25:00;55.0;2375.6;26.793;2371.1;26.683;3.73;-1.17;TP_ZSCORE;1.2516;1;1;-45.0;110.0;65.0;27.0;38.0;65.0;0.0;-1116.0
38;SHORT;2024-03-12 19:00:00;2024-03-12 20:35:00;95.0;2495.1;27.869;2495.7;27.864;4.2;-1.49;TP_ZSCORE;0.0529;1;1;6.0;5.0;11.0;27.0;-16.0;11.0;-30.0;-1132.0
39;SHORT;2024-03-31 17:30:00;2024-03-31 20:45:00;195.0;2570.7;28.704;2587.8;28.799;4.04;-2.3;TP_ZSCORE;-0.0141;1;1;171.0;-95.0;76.0;27.0;49.0;76.0;-56.0;-1083.0
40;SHORT;2024-04-01 17:30:00;2024-04-02 00:50:00;440.0;2585.3;28.804;2583.7;28.964;3.54;-1.06;TP_ZSCORE;0.2029;1;1;-16.0;-160.0;-176.0;27.0;-203.0;25.0;-205.0;-1286.0
41;SHORT;2024-04-03 17:30:00;2024-04-03 18:35:00;65.0;2631.5;30.864;2629.3;30.764;3.88;-1.51;TP_ZSCORE;1.0375;1;1;-22.0;100.0;78.0;27.0;51.0;78.0;0.0;-1235.0
42;SHORT;2024-04-10 07:30:00;2024-04-10 09:05:00;95.0;2658.8;31.469;2673.0;31.714;3.82;-1.21;TP_ZSCORE;1.9895;2;1;284.0;-245.0;39.0;32.5;6.5;105.0;-60.0;-1228.5
43;SHORT;2024-04-11 00:05:00;2024-04-11 05:10:00;305.0;2670.5;31.664;2663.2;31.599;3.61;-1.0;TP_ZSCORE;2.1018;2;1;-146.0;65.0;-81.0;32.5;-113.5;68.0;-117.0;-1342.0
44;LONG;2024-04-18 20:30:00;2024-04-18 20:45:00;15.0;2732.3;32.179;2739.9;32.519;-3.77;1.75;TP_ZSCORE;1.5247;2;1;-152.0;340.0;188.0;32.5;155.5;188.0;-0.0;-1186.5
45;LONG;2024-04-21 22:15:00;2024-04-22 02:45:00;270.0;2689.4;31.514;2683.6;31.359;-4.05;1.0;TP_ZSCORE;1.1795;1;1;58.0;-155.0;-97.0;27.0;-124.0;54.0;-177.0;-1310.5
46;LONG;2024-04-26 14:20:00;2024-04-28 17:30:00;3070.0;2658.9;30.714;2658.0;30.759;-3.5;1.51;TP_ZSCORE;1.6655;2;1;18.0;45.0;63.0;32.5;30.5;63.0;-20.0;-1280.0
47;SHORT;2024-05-14 19:00:00;2024-05-14 20:35:00;95.0;2672.5;32.141;2674.2;32.041;4.18;-1.02;TP_ZSCORE;1.7103;2;1;34.0;100.0;134.0;32.5;101.5;164.0;0.0;-1178.5
48;SHORT;2024-05-22 20:30:00;2024-05-22 23:00:00;150.0;2679.6;33.826;2686.1;33.996;3.52;-1.53;TP_ZSCORE;4.0662;5;1;325.0;-170.0;155.0;49.0;106.0;230.0;0.0;-1072.5
