Trade_No;Direction;Entry_DateTime;Exit_DateTime;Duration_Min;Entry_GC;Entry_SI;Exit_GC;Exit_SI;Entry_ZScore;Exit_ZScore;Exit_Reason;Beta;GC_Contracts;SI_Contracts;PnL_GC;PnL_SI;PnL_Gross;Costs;PnL_Net;Max_PnL_Intra;Min_PnL_Intra;PnL_Cumul
1;LONG;2023-03-14 19:00:00;2023-03-14 20:35:00;95.0;2353.5;26.657;2356.0;26.777;-4.11;1.32;TP_ZSCORE;1.9825;1;1;-250.0;600.0;350.0;148.0;202.0;440.0;-75.0;202.0
2;LONG;2023-03-29 06:00:00;2023-03-29 07:40:00;100.0;2417.1;28.307;2411.8;28.247;-3.55;1.47;TP_ZSCORE;1.43;1;1;530.0;-300.0;230.0;148.0;82.0;230.0;-370.0;284.0
3;LONG;2023-04-12 07:30:00;2023-04-12 07:50:00;20.0;2471.5;30.547;2467.7;30.622;-3.69;1.28;TP_ZSCORE;2.4598;2;1;760.0;375.0;1135.0;192.0;943.0;1135.0;0.0;1227.0
4;LONG;2023-04-24 00:40:00;2023-04-24 01:05:00;25.0;2418.6;29.762;2420.9;29.857;-3.78;1.37;TP_ZSCORE;1.2844;1;1;-230.0;475.0;245.0;148.0;97.0;245.0;0.0;1324.0
5;LONG;2023-04-26 06:00:00;2023-04-26 06:50:00;50.0;2440.0;29.872;2437.6;30.007;-3.86;2.03;TP_ZSCORE;1.2723;1;1;240.0;675.0;915.0;148.0;767.0;915.0;0.0;2091.0
6;LONG;2023-05-16 00:30:00;2023-05-16 02:40:00;130.0;2449.2;28.775;2442.6;28.67;-3.65;1.43;TP_ZSCORE;-0.0956;1;1;660.0;-525.0;135.0;148.0;-13.0;135.0;-265.0;2078.0
7;SHORT;2023-05-29 20:20:00;2023-05-29 21:35:00;75.0;2373.5;28.0;2374.7;27.98;3.58;-1.27;TP_ZSCORE;1.1937;1;1;120.0;100.0;220.0;148.0;72.0;220.0;-100.0;2150.0
8;SHORT;2023-06-15 20:00:00;2023-06-15 23:25:00;205.0;2381.9;28.665;2380.1;28.645;3.9;-1.03;TP_ZSCORE;1.0977;1;1;-180.0;100.0;-80.0;148.0;-228.0;220.0;-195.0;1922.0
9;LONG;2023-07-27 08:00:00;2023-07-27 10:05:00;125.0;2367.5;29.225;2355.9;28.79;-3.51;1.1;TP_ZSCORE;1.4412;1;1;1160.0;-2175.0;-1015.0;148.0;-1163.0;215.0;-1435.0;759.0
10;SHORT;2023-09-26 07:35:00;2023-09-26 10:35:00;180.0;2296.4;27.3;2294.7;27.295;3.56;-1.02;TP_ZSCORE;2.5664;2;1;-340.0;25.0;-315.0;192.0;-507.0;315.0;-615.0;252.0
11;SHORT;2023-09-28 17:30:00;2023-09-28 19:00:00;90.0;2254.2;26.985;2255.9;27.005;3.59;-1.31;TP_ZSCORE;1.1286;1;1;170.0;-100.0;70.0;148.0;-78.0;70.0;-120.0;174.0
12;SHORT;2023-10-06 07:45:00;2023-10-08 17:30:00;3465.0;2198.3;25.27;2234.0;26.045;3.66;-4.19;TP_ZSCORE;1.9996;1;1;3570.0;-3875.0;-305.0;148.0;-453.0;385.0;-1150.0;-279.0
