rank;timeframe;exit_mode;config_label;pnl;trades;win_rate;pf;max_dd;sharpe;validated_c4;validated_c5;recommended
1;5min;zscore;b3960_zp24_cp12_adf26_zE3.5_zTP-1.0_co50;24694;153;50.0;2.0;;0.0;no;no;no
2;5min;zscore;b2640_zp20_cp30_adf26_zE3.5_zTP-1.0_zSL4.0_co40;45224;100;53.0;2.41;-17341;3.02;yes;yes;yes
3;5min;zscore;b2640_zp20_cp30_adf128_zE3.5_zTP1.0_co50;7818;23;60.9;4.09;;0.361;no;no;no
4;5min;zscore;b1320_zp20_cp30_adf64_zE3.5_zTP1.0_co50;11420;30;53.3;3.28;;0.205;no;no;no
5;5min;zscore;b3960_zp24_cp60_adf26_zE3.5_zTP-1.0_co50;24694;153;50.0;2.0;;0.0;no;no;no
1;1min;dollar;b1320_zp20_cp30_adf128_zE3.5_TP500_SL1200_co50;16585;93;82.8;2.10;;0.324;no;no;no
2;1min;dollar;b1320_zp20_cp30_adf128_zE3.5_TP1000_SL1200_co50;15890;93;63.4;1.44;;0.175;no;no;no
3;1min;dollar;b1320_zp20_cp30_adf128_zE3.5_TP500_SL1400_co50;14585;93;82.8;1.86;;0.258;no;no;no
4;1min;dollar;b1320_zp20_cp30_adf128_zE3.5_TP500_SL800_co50;12600;93;76.3;1.76;;0.264;no;no;no
5;1min;dollar;b1320_zp20_cp30_adf64_zE3.5_TP1000_SL1200_co50;14829;62;64.5;1.69;;0.250;no;no;no
