Hour,trades,pnl_total,pnl_avg,win_rate,max_loss
0,9,-2516.0,-279.6,44.4,-1348.0
1,2,-116.0,-58.0,50.0,-283.0
2,1,3153.0,3153.0,100.0,3153.0
3,2,1344.0,672.0,50.0,-408.0
4,2,3460.0,1730.0,50.0,-223.0
5,2,-1156.0,-578.0,50.0,-1583.0
6,3,1236.0,412.0,100.0,82.0
7,15,-6418.0,-427.9,46.7,-2662.0
8,3,-3224.0,-1074.7,0.0,-1538.0
9,2,8982.0,4491.0,50.0,-418.0
10,2,759.0,379.5,50.0,-153.0
12,2,-2316.0,-1158.0,0.0,-2138.0
13,1,7729.0,7729.0,100.0,7729.0
14,1,167.0,167.0,100.0,167.0
17,21,28249.0,1345.2,57.1,-1108.0
18,5,40.0,8.0,40.0,-783.0
19,8,2066.0,258.2,50.0,-1103.0
20,10,-2558.0,-255.8,50.0,-1883.0
22,5,1340.0,268.0,60.0,-343.0
23,4,5003.0,1250.8,100.0,52.0
