parameter,value,pnl_mean,pnl_std,count
beta,1320.0,-71259.0,76517.0,7764
beta,2640.0,-59041.0,67331.0,7692
beta,3960.0,-48776.0,60872.0,7690
beta,5280.0,-52405.0,58040.0,7707
zp,20.0,-44254.0,58466.0,5196
zp,24.0,-49353.0,69761.0,6061
zp,30.0,-65208.0,75520.0,6336
zp,48.0,-61121.0,60347.0,6552
zp,60.0,-66141.0,64064.0,6708
cp,12.0,-51263.0,65516.0,8028
cp,24.0,-52622.0,66730.0,7798
cp,36.0,-70469.0,71182.0,7560
cp,60.0,-57818.0,61017.0,7467
adf,26.0,-81404.0,81066.0,8532
adf,64.0,-56046.0,60250.0,7450
adf,96.0,-42863.0,54199.0,7404
adf,128.0,-47802.0,57878.0,7467
zE,2.5,-106972.0,75984.0,11520
zE,3.0,-39796.0,38080.0,11067
zE,3.5,-13747.0,29105.0,8266
co,40.0,-84130.0,75222.0,11472
co,50.0,-52080.0,57827.0,10714
co,60.0,-30373.0,49788.0,8667
zTP,-1.0,-63005.0,70729.0,7711
zTP,-0.5,-59645.0,68224.0,7713
zTP,0.0,-54200.0,63869.0,7713
zTP,0.5,-54750.0,63085.0,7716
