label;beta;zp;cp;adf;zE;co;zTP;zSL;dTP;dSL;feos;mhb;mm;entry_start;trades;long;short;win_rate;pnl_net;pnl_avg;profit_factor;max_dd;sharpe;calmar;sortino;tp_zscore;tp_dollar;sl_zscore;sl_dollar;max_hold;end_session;ratio_eod;ratio_tpd;ratio_tpz;tpz_avg_pnl;score
b2640_zp28_cp12_adf96_zE3.4_co20_zTP-0.5_zSL99_dTP200_dSL500_feos_nohold_mm2_es0;2640;28;12;96;3.4;20;-0.5;99;200;-500;True;0;2;0;233;114;119;73.8;8257.0;35.44;1.83;-908.0;0.23;9.1;0.211;129;94;0;7;0;3;0.0129;0.4034;0.5536;-38.0;0.9052
b2640_zp28_cp12_adf64_zE3.4_co20_zTP-0.5_zSL99_dTP200_dSL500_feos_nohold_mm2_es0;2640;28;12;64;3.4;20;-0.5;99;200;-500;True;0;2;0;238;114;124;73.9;8101.0;34.04;1.78;-908.0;0.22;8.93;0.204;131;95;0;7;0;5;0.021;0.3992;0.5504;-39.7;0.9025
b2640_zp28_cp12_adf26_zE3.4_co20_zTP-0.5_zSL99_dTP200_dSL500_feos_nohold_mm2_es0;2640;28;12;26;3.4;20;-0.5;99;200;-500;True;0;2;0;225;106;119;73.3;7905.0;35.13;1.82;-908.0;0.23;8.71;0.215;125;91;0;6;0;3;0.0133;0.4044;0.5556;-38.7;0.8975
b2640_zp28_cp12_adf96_zE3.4_co20_zTP-0.75_zSL99_dTP200_dSL500_feos_nohold_mm2_es0;2640;28;12;96;3.4;20;-0.75;99;200;-500;True;0;2;0;232;114;118;75.0;7977.0;34.38;1.75;-1165.0;0.22;6.85;0.196;123;96;0;8;0;5;0.0216;0.4138;0.5302;-44.4;0.8971
b7920_zp28_cp30_adf48_zE3.4_co20_zTP-0.75_zSL99_dTP175_dSL500_feos_nohold_mm2_es0;7920;28;30;48;3.4;20;-0.75;99;175;-500;True;0;2;0;232;124;108;74.6;7222.0;31.13;1.79;-995.0;0.22;7.26;0.193;124;100;0;5;0;3;0.0129;0.431;0.5345;-40.5;0.8947
b7920_zp28_cp30_adf48_zE3.4_co20_zTP-1.0_zSL99_dTP175_dSL500_feos_nohold_mm2_es0;7920;28;30;48;3.4;20;-1.0;99;175;-500;True;0;2;0;230;124;106;76.5;7530.0;32.74;1.82;-1021.0;0.22;7.38;0.19;119;100;0;6;0;5;0.0217;0.4348;0.5174;-39.7;0.8945
b2640_zp28_cp12_adf96_zE3.4_co20_zTP-0.25_zSL99_dTP200_dSL500_feos_nohold_mm2_es0;2640;28;12;96;3.4;20;-0.25;99;200;-500;True;0;2;0;233;114;119;72.5;7795.0;33.45;1.79;-952.0;0.22;8.19;0.196;135;89;0;7;0;2;0.0086;0.382;0.5794;-34.6;0.8943
b2640_zp26_cp20_adf32_zE3.3_co20_zTP-1.0_zSL99_dTP175_dSL500_feos_nohold_mm2_es0;2640;26;20;32;3.3;20;-1.0;99;175;-500;True;0;2;0;262;128;134;76.7;7734.0;29.52;1.69;-1309.0;0.2;5.91;0.171;135;113;0;8;0;6;0.0229;0.4313;0.5153;-45.2;0.8939
b2640_zp28_cp12_adf32_zE3.4_co20_zTP-0.5_zSL99_dTP200_dSL500_feos_nohold_mm2_es0;2640;28;12;32;3.4;20;-0.5;99;200;-500;True;0;2;0;231;108;123;73.6;7610.0;32.95;1.75;-908.0;0.21;8.39;0.195;127;93;0;7;0;4;0.0173;0.4026;0.5498;-42.6;0.8926
b2640_zp28_cp12_adf48_zE3.4_co20_zTP-0.5_zSL99_dTP200_dSL500_feos_nohold_mm2_es0;2640;28;12;48;3.4;20;-0.5;99;200;-500;True;0;2;0;231;109;122;73.6;7502.0;32.48;1.73;-908.0;0.21;8.27;0.193;129;92;0;7;0;3;0.013;0.3983;0.5584;-41.7;0.8914
b2640_zp28_cp12_adf64_zE3.4_co20_zTP-0.75_zSL99_dTP200_dSL500_feos_nohold_mm2_es0;2640;28;12;64;3.4;20;-0.75;99;200;-500;True;0;2;0;237;114;123;75.1;7724.0;32.59;1.7;-1074.0;0.2;7.19;0.188;124;98;0;8;0;7;0.0295;0.4135;0.5232;-48.4;0.8899
b2640_zp28_cp12_adf64_zE3.4_co20_zTP-0.25_zSL99_dTP200_dSL500_feos_nohold_mm2_es0;2640;28;12;64;3.4;20;-0.25;99;200;-500;True;0;2;0;238;114;124;71.8;7531.0;31.64;1.73;-952.0;0.21;7.91;0.187;137;90;0;7;0;4;0.0168;0.3782;0.5756;-37.0;0.8898
