config;oos_window;test_start;test_end;trades;pnl;dd;pf;wr;eod
C01_b4620_zE3.6_dTP225_nohold_es22;1;2023-07-26;2024-01-26;29;-636.8;-894.0;0.67;44.8;7
C01_b4620_zE3.6_dTP225_nohold_es22;2;2024-01-26;2024-07-26;27;864.96;-759.28;1.57;59.3;4
C01_b4620_zE3.6_dTP225_nohold_es22;3;2024-07-26;2025-01-26;23;822.56;-356.04;2.03;65.2;2
C01_b4620_zE3.6_dTP225_nohold_es22;4;2025-01-26;2025-07-26;20;1650.56;-89.4;4.4;75.0;0
C01_b4620_zE3.6_dTP225_nohold_es22;5;2025-07-26;2026-01-30;40;5401.24;0.0;81.91;97.5;1
C02_b4620_zE3.55_dTP250_mhb18_es18;1;2023-07-26;2024-01-26;47;-1133.92;-1320.96;0.59;36.2;15
C02_b4620_zE3.55_dTP250_mhb18_es18;2;2024-01-26;2024-07-26;54;-521.76;-1290.12;0.85;40.7;27
C02_b4620_zE3.55_dTP250_mhb18_es18;3;2024-07-26;2025-01-26;49;888.0;-1036.72;1.53;44.9;20
C02_b4620_zE3.55_dTP250_mhb18_es18;4;2025-01-26;2025-07-26;32;2122.24;-356.36;3.63;59.4;9
C02_b4620_zE3.55_dTP250_mhb18_es18;5;2025-07-26;2026-01-30;54;6846.68;-304.4;11.87;83.3;5
C03_b7920_zE3.45_dTP175_mhb18_es22;1;2023-07-26;2024-01-26;41;179.44;-580.04;1.1;53.7;3
C03_b7920_zE3.45_dTP175_mhb18_es22;2;2024-01-26;2024-07-26;27;1199.96;-340.44;2.28;63.0;1
C03_b7920_zE3.45_dTP175_mhb18_es22;3;2024-07-26;2025-01-26;37;351.4;-710.2;1.22;56.8;2
C03_b7920_zE3.45_dTP175_mhb18_es22;4;2025-01-26;2025-07-26;20;893.88;-228.52;2.58;70.0;0
C03_b7920_zE3.45_dTP175_mhb18_es22;5;2025-07-26;2026-01-30;52;5074.08;-170.64;30.74;98.1;1
C04_b4620_zE3.6_dTP250_nohold_es22;1;2023-07-26;2024-01-26;29;-586.8;-844.0;0.7;44.8;7
C04_b4620_zE3.6_dTP250_nohold_es22;2;2024-01-26;2024-07-26;26;656.6;-759.28;1.43;57.7;4
C04_b4620_zE3.6_dTP250_nohold_es22;3;2024-07-26;2025-01-26;23;949.56;-356.04;2.19;65.2;2
C04_b4620_zE3.6_dTP250_nohold_es22;4;2025-01-26;2025-07-26;20;1825.56;-89.4;4.77;75.0;0
C04_b4620_zE3.6_dTP250_nohold_es22;5;2025-07-26;2026-01-30;40;5476.24;-561.4;9.72;95.0;1
C05_b4620_zE3.6_dTP250_mhb18_es22;1;2023-07-26;2024-01-26;29;-414.8;-700.52;0.76;44.8;4
C05_b4620_zE3.6_dTP250_mhb18_es22;2;2024-01-26;2024-07-26;26;201.6;-869.28;1.1;50.0;3
C05_b4620_zE3.6_dTP250_mhb18_es22;3;2024-07-26;2025-01-26;23;882.56;-521.12;2.07;52.2;1
C05_b4620_zE3.6_dTP250_mhb18_es22;4;2025-01-26;2025-07-26;20;1931.56;-137.8;5.09;70.0;0
C05_b4620_zE3.6_dTP250_mhb18_es22;5;2025-07-26;2026-01-30;40;5198.24;-304.4;9.86;87.5;1
C06_b2640_zE3.4_dTP225_nohold_es22;1;2023-07-26;2024-01-26;50;-130.72;-1150.92;0.96;62.0;6
C06_b2640_zE3.4_dTP225_nohold_es22;2;2024-01-26;2024-07-26;40;766.32;-539.52;1.32;55.0;11
C06_b2640_zE3.4_dTP225_nohold_es22;3;2024-07-26;2025-01-26;38;533.16;-999.6;1.22;63.2;7
C06_b2640_zE3.4_dTP225_nohold_es22;4;2025-01-26;2025-07-26;30;1990.24;-527.76;2.58;76.7;1
C06_b2640_zE3.4_dTP225_nohold_es22;5;2025-07-26;2026-01-30;57;3061.96;-1830.48;1.78;78.9;6
C07_b2640_zE3.4_dTP200_nohold_es22;1;2023-07-26;2024-01-26;50;246.28;-634.92;1.09;64.0;6
C07_b2640_zE3.4_dTP200_nohold_es22;2;2024-01-26;2024-07-26;40;720.32;-541.36;1.34;57.5;10
C07_b2640_zE3.4_dTP200_nohold_es22;3;2024-07-26;2025-01-26;39;559.76;-765.12;1.27;66.7;6
C07_b2640_zE3.4_dTP200_nohold_es22;4;2025-01-26;2025-07-26;30;1364.24;-527.76;1.98;73.3;1
C07_b2640_zE3.4_dTP200_nohold_es22;5;2025-07-26;2026-01-30;58;2894.2;-1937.48;1.88;82.8;5
C08_b2640_zE3.5_dTP225_mhb18_es0;1;2023-07-26;2024-01-26;42;136.64;-571.16;1.06;59.5;0
C08_b2640_zE3.5_dTP225_mhb18_es0;2;2024-01-26;2024-07-26;32;1541.64;-729.36;2.0;75.0;0
C08_b2640_zE3.5_dTP225_mhb18_es0;3;2024-07-26;2025-01-26;26;-747.4;-819.76;0.67;53.8;0
C08_b2640_zE3.5_dTP225_mhb18_es0;4;2025-01-26;2025-07-26;30;1403.56;-623.8;1.75;73.3;0
C08_b2640_zE3.5_dTP225_mhb18_es0;5;2025-07-26;2026-01-30;43;3506.72;-1255.84;3.14;86.0;0
C09_b2640_zE3.4_dTP200_nohold_es0;1;2023-07-26;2024-01-26;55;495.48;-510.16;1.23;63.6;1
C09_b2640_zE3.4_dTP200_nohold_es0;2;2024-01-26;2024-07-26;40;411.36;-907.52;1.15;70.0;0
C09_b2640_zE3.4_dTP200_nohold_es0;3;2024-07-26;2025-01-26;41;70.08;-688.96;1.02;70.7;0
C09_b2640_zE3.4_dTP200_nohold_es0;4;2025-01-26;2025-07-26;48;1715.52;-608.56;1.7;66.7;2
C09_b2640_zE3.4_dTP200_nohold_es0;5;2025-07-26;2026-01-30;55;3116.6;-1174.92;2.24;83.6;2
