config;trades_oos;pnl_p5;dd_p5;sharpe_p5;pnl_p25;dd_p25;sharpe_p25;pnl_p50;dd_p50;sharpe_p50;pnl_p75;dd_p75;sharpe_p75;pnl_p95;dd_p95;sharpe_p95;verdict
C01_b4620_zE3.6_dTP225_nohold_es22;139;5435.808;-1315.3760000000007;0.2444249251415714;7082.170000000002;-937.9799999999999;0.34401059537876383;8258.14;-731.9;0.42383661180057597;9420.59;-586.9200000000001;0.5109227429646925;10885.455999999998;-458.258;0.6462298471576637;PASS
C02_b4620_zE3.55_dTP250_mhb18_es18;236;4826.956000000001;-1646.584000000001;0.1451744700661165;6787.840000000002;-1183.8399999999988;0.20671463804238638;8121.080000000002;-944.22;0.25139320479041005;9459.580000000002;-781.6099999999999;0.29959609982359703;11593.869999999997;-596.3779999999997;0.3725336505194088;PASS
C03_b7920_zE3.45_dTP175_mhb18_es22;177;5336.874000000001;-1126.886;0.246583239089863;6758.9000000000015;-786.1000000000013;0.33671133859962066;7882.400000000001;-622.1000000000005;0.4198961509956632;8765.119999999999;-498.87000000000023;0.4931022015226958;10034.588000000002;-341.7859999999998;0.5953834290313614;PASS
C04_b4620_zE3.6_dTP250_nohold_es22;138;5287.656000000001;-1492.09;0.22588296584274042;7162.6500000000015;-1080.4000000000005;0.31536016908085196;8413.12;-845.4600000000005;0.39314449338484947;9757.79;-682.98;0.4756168137873302;11541.932;-527.76;0.6104879004240096;PASS
C05_b4620_zE3.6_dTP250_mhb18_es22;138;5126.904;-1304.020000000001;0.23327408003745165;6689.670000000001;-948.4000000000007;0.31385283017672233;7955.4400000000005;-755.8000000000003;0.3874141276118105;9132.8;-613.7699999999995;0.45741132713552174;10779.277999999998;-467.58199999999994;0.569999799456983;PASS
C06_b2640_zE3.4_dTP225_nohold_es22;215;1798.5200000000007;-3289.3740000000007;0.040369964562414304;4476.3;-2199.43;0.10683197673573211;6248.120000000001;-1727.9400000000005;0.1551770478615494;7959.37;-1380.7899999999968;0.2048185631233273;10589.75;-1001.4559999999994;0.2855040185608619;PASS
C07_b2640_zE3.4_dTP200_nohold_es22;217;1757.6300000000015;-2877.9899999999993;0.043063037818914525;4127.450000000001;-1963.05;0.11006174586461226;5792.200000000001;-1510.22;0.1582742469938916;7421.490000000002;-1205.0300000000002;0.21302448088468584;9749.19;-870.9419999999993;0.3115695695087987;PASS
C08_b2640_zE3.5_dTP225_mhb18_es0;173;1883.2340000000002;-2435.804000000001;0.061280590575060016;4281.77;-1689.54;0.14086637112705977;5742.8600000000015;-1298.420000000001;0.19749573074274357;7420.880000000001;-1046.9500000000012;0.26151831746425;9418.492000000004;-753.812000000002;0.3557447739027489;PASS
C09_b2640_zE3.4_dTP200_nohold_es0;239;1726.8660000000016;-3019.492000000002;0.041144431559210194;4197.300000000001;-2013.67;0.10555822221378726;6057.720000000002;-1565.8000000000002;0.1569417415135395;7710.320000000001;-1247.94;0.20638852721904502;9834.866000000002;-909.8320000000002;0.2814766379469947;PASS
C10_b2640_zE3.3_dTP200_nohold_es0;260;-67.62599999999833;-3702.234000000001;-0.0014262407242677136;3022.1600000000017;-2531.840000000001;0.06561598387220528;4977.420000000002;-1924.9999999999995;0.11016153764001513;6725.1100000000015;-1540.4;0.15360676328805303;9647.958;-1104.074;0.2367907217081599;FAIL
