Trade_No;Direction;Entry_DateTime;Exit_DateTime;Duration_Min;Entry_GC;Entry_SI;Exit_GC;Exit_SI;Entry_ZScore;Exit_ZScore;Exit_Reason
1;LONG;2025-12-11 05:40:00;2025-12-11 05:47:00;7.0;4241.4;62.45;4240.7;62.375;-3.28;-1.68;TP_ZSCORE
2;LONG;2025-12-11 10:48:00;2025-12-11 10:52:00;4.0;4303.7;64.175;4308.2;64.37;-3.99;-1.89;TP_ZSCORE
3;LONG;2025-12-11 12:59:00;2025-12-11 13:03:00;4.0;4298.6;63.835;4297.6;63.88;-3.61;-1.54;TP_ZSCORE
4;LONG;2025-12-12 12:43:00;2025-12-12 12:45:00;2.0;4325.4;61.795;4326.4;61.83;-3.03;-1.86;TP_ZSCORE
5;SHORT;2025-12-14 23:31:00;2025-12-14 23:33:00;2.0;4367.1;63.005;4369.5;63.0;3.17;1.83;TP_ZSCORE
6;LONG;2025-12-15 14:22:00;2025-12-15 14:25:00;3.0;4332.4;63.835;4334.7;63.905;-3.26;-1.52;TP_ZSCORE
7;LONG;2025-12-15 19:00:00;2025-12-15 19:01:00;1.0;4332.5;63.64;4334.7;63.755;-3.42;-1.58;TP_ZSCORE
8;LONG;2025-12-15 19:06:00;2025-12-15 19:08:00;2.0;4328.8;63.445;4330.9;63.565;-3.13;-1.66;TP_ZSCORE
9;LONG;2025-12-15 20:53:00;2025-12-15 20:59:00;6.0;4324.4;63.33;4316.4;63.125;-3.09;-1.89;TP_ZSCORE
10;SHORT;2025-12-16 07:30:00;2025-12-16 07:34:00;4.0;4335.9;63.505;4337.0;63.47;3.02;1.32;TP_ZSCORE
11;SHORT;2025-12-16 17:30:00;2025-12-16 17:34:00;4.0;4334.9;63.835;4335.0;63.815;3.69;1.65;TP_ZSCORE
12;LONG;2025-12-16 23:01:00;2025-12-16 23:03:00;2.0;4358.3;66.045;4358.0;66.08;-3.6;-1.95;TP_ZSCORE
13;LONG;2025-12-17 06:18:00;2025-12-17 06:20:00;2.0;4350.9;66.14;4352.8;66.175;-3.07;-3.53;SL_ZSCORE
14;LONG;2025-12-17 20:17:00;2025-12-17 20:18:00;1.0;4366.5;66.435;4366.8;66.52;-3.02;-1.62;TP_ZSCORE
